Series Name,Series Code,Country Name,Country Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Afghanistan,AFG,-93326.6667,690000,-1460000,-10000,6040000,170000,680000,50000000,57800000,186900000,271000000,238000000,188690000,46033740,56107246.5,190774431.98,52173421,56823660,48311346,42975262.5,169146608,93591315.3,51533896.765,119435105.715177,23419360.6865351
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Albania,ALB,70000000,90100000,47500000,45010000,41200000,143000000,207300000,135000000,178036400.666667,341285112.537562,262479012.637464,325138316.803697,652275603.722803,1247181714.30558,1345415233.65622,1089898207.57431,1048706682.05458,917994575.801863,1254150555.51294,1149927985.77737,989578334.828609,1044389554.85795,1022757857.07377,1204383363.60476,1208739119.4394
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Algeria,DZA,1000,270000000,260000000,606600000,291600000,280100000,1113105541,1064960000,637880000,881850000,1155999999.99995,1841000000.00008,1686736539.70385,2638607033.75183,2746930734.16534,2300369124.15828,2571237024.68517,1500402452.8635,1691886707.50796,1502206170.55838,-537792920.921856,1638263953.77737,1200965279.93224,1506316885.7744,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Angola,AGO,472427000,180559000,411660000,1113970000,2471460000,878620000,2145470000,1743504000,3576971780,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182.45,-3023770965.83688,-1464627990.88284,-7120017424.4614,3657514667.49327,10028215162.6394,-179517618.92,-7397295409.18991,-6456076413.12033,-4098478747.63755
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Antigua and Barbuda,ATG,31485185.1851852,19351851.8518519,22944444.4444444,22774074.0740741,51792533.3333333,43115925.9259259,98452222.2222222,65865064.8148148,166321143.703704,80366585.1851852,220963374.074074,358820163.703704,338204733.333333,158783774.444445,80646652.5925926,96679207.7777778,65160596.2962963,129367138.888889,134288999.62963,46263101.049287,114024660.121814,97431976.4735789,156934594.922172,135127898.770161,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Argentina,ARG,5609423403.56467,6948536686.64725,9160272052.4446,7290657132.08156,23987696389.6428,10418314339.1428,2166136829.76399,2148910000,1652010000,4124710000,5265250000,5537347786.19331,6473157762.12915,9725553129.52469,4017158924.88408,11332718626.4345,10839930944.6815,15323933916.8241,9821661858.15874,5065335541.96486,11758994011.286,3260164341.77393,11516861462.2845,11872856662.7649,6244423191.86242
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Armenia,ARM,25320000,17570000,51940000,232375000,122034000,104188500,69868500,110725325.614409,122852992.703235,247140608.495888,292073220.164722,466531991.901724,667671562.134495,943733059.483284,760040745.87233,529321391.641959,653219756.47225,496636701.129687,346092394.393256,406578406.693112,184127986.314895,333733314.104601,250935110.239139,254146163.557324,254483084.278617
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Aruba,ABW,-5530726.25698324,85027932.9608939,197821229.050279,113463687.150838,467541899.441341,-127932960.893855,-266927374.301676,332513966.480447,159776536.312849,-105698324.022346,-207798005.868163,220316139.723839,-471005586.592179,18882681.5642458,-10614525.1396648,186759776.536313,488156424.581006,-314692737.430168,226371388.826816,250618094.972067,-28775856.424581,27551267.6251579,162463551.517038,134979426.030359,..
