Country,ISO_Code,GDLCODE,Region
Afghanistan,AFG,AFGt,Total
Afghanistan,AFG,AFGr101,Central (Kabul Wardak Kapisa Logar Parwan Panjsher)
Afghanistan,AFG,AFGr102,Central Highlands (Bamyan Daikundi)
Afghanistan,AFG,AFGr103,East (Nangarhar Kunar Laghman Nooristan)
Afghanistan,AFG,AFGr104,North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)
Afghanistan,AFG,AFGr105,North East (Baghlan Takhar Badakhshan Kunduz)
Afghanistan,AFG,AFGr106,South (Uruzgan Helmand Zabul Nimroz Kandahar)
Afghanistan,AFG,AFGr107,South East (Ghazni Paktya Paktika Khost)
Afghanistan,AFG,AFGr108,West (Ghor Herat Badghis Farah)
Albania,ALB,ALBt,Total
Albania,ALB,ALBr201, Berat
Albania,ALB,ALBr202, Diber
Albania,ALB,ALBr203, Durres
Albania,ALB,ALBr204, Elbasan
Albania,ALB,ALBr205, Fier
Albania,ALB,ALBr206, Gjirokaster
Albania,ALB,ALBr207, Korce
Albania,ALB,ALBr208, Kukes
Albania,ALB,ALBr209, Lezhe
Albania,ALB,ALBr210, Shkoder
Albania,ALB,ALBr211, Tirana
Albania,ALB,ALBr212, Vlore
Algeria,DZA,DZAt,Total
Algeria,DZA,DZAr104,"Hauts Plateaux Centre (Djelfa, Laghouat, MSila)"
Algeria,DZA,DZAr105,"Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)"
Algeria,DZA,DZAr106,"Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)"
Algeria,DZA,DZAr101,"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)"
Algeria,DZA,DZAr102,"Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)"
Algeria,DZA,DZAr103,"Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)"
Algeria,DZA,DZAr107,"Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)"
Andorra,AND,ANDt,Total
Angola,AGO,AGOt,Total
Angola,AGO,AGOr218, Bengo
Angola,AGO,AGOr209, Benguela
Angola,AGO,AGOr211, Bie
Angola,AGO,AGOr201, Cabinda
Angola,AGO,AGOr216, Cunene
Angola,AGO,AGOr210, Huambo
Angola,AGO,AGOr215, Huila
Angola,AGO,AGOr213, Kuando Kubango
Angola,AGO,AGOr205, Kuanza Norte
Angola,AGO,AGOr206, Kuanza Sul
Angola,AGO,AGOr204, Luanda
Angola,AGO,AGOr208, Lunda Norte
Angola,AGO,AGOr217, Lunda Sul
Angola,AGO,AGOr207, Malange
Angola,AGO,AGOr212, Moxico
Angola,AGO,AGOr214, Namibe
Angola,AGO,AGOr203, Uige
Angola,AGO,AGOr202, Zaire
Antigua and Barbuda,ATG,ATGt,Total
Argentina,ARG,ARGt,Total
Argentina,ARG,ARGr103,"Catamarca, La Rioja, San Juan"
Argentina,ARG,ARGr106,"Chaco, Formosa"
Argentina,ARG,ARGr107,"Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego"
Argentina,ARG,ARGr101,City of Buenos Aires
Argentina,ARG,ARGr104,Cordoba
Argentina,ARG,ARGr105,"Corrientes, Entre Rios, Misiones"
Argentina,ARG,ARGr108,"Jujuy, Salta"
Argentina,ARG,ARGr109,"La Pampa, San Luis, Mendoza"
Argentina,ARG,ARGr102,Rest of Buenos Aires
Argentina,ARG,ARGr110,Santa Fe
Argentina,ARG,ARGr111,"Santiago del Estero, Tucuman"
Armenia,ARM,ARMt,Total
Armenia,ARM,ARMr101,Aragatsotn
Armenia,ARM,ARMr102,Ararat
Armenia,ARM,ARMr103,Armavir
Armenia,ARM,ARMr104,Gegharkunik
Armenia,ARM,ARMr106,Kotayk
Armenia,ARM,ARMr105,Lori
Armenia,ARM,ARMr107,Shirak
Armenia,ARM,ARMr108,Syunik
Armenia,ARM,ARMr110,Tavush
Armenia,ARM,ARMr109,Vayots Dzor
Armenia,ARM,ARMr111,Yerevan
Australia,AUS,AUSt,Total
Australia,AUS,AUSr108,Australian Capital Territory
Australia,AUS,AUSr101,New South Wales
Australia,AUS,AUSr107,Northern Territory
Australia,AUS,AUSr103,Queensland
Australia,AUS,AUSr104,South Australia
Australia,AUS,AUSr106,Tasmania
Australia,AUS,AUSr102,Victoria
Australia,AUS,AUSr105,Western Australia
Austria,AUT,AUTt,Total
Austria,AUT,AUTr101,Burgenland
Austria,AUT,AUTr104,Karnten
Austria,AUT,AUTr102,Niederosterreich
Austria,AUT,AUTr106,Oberosterreich
Austria,AUT,AUTr107,Salzburg
Austria,AUT,AUTr105,Steiermark
Austria,AUT,AUTr108,Tirol
Austria,AUT,AUTr109,Vorarlberg
Austria,AUT,AUTr103,Wien
Azerbaijan,AZE,AZEt,Total
Azerbaijan,AZE,AZEr102,Absheron
Azerbaijan,AZE,AZEr107,Aran
Azerbaijan,AZE,AZEr101,Baku
Azerbaijan,AZE,AZEr109,Dakhlik Shirvan
Azerbaijan,AZE,AZEr103,Ganja Gazakh
Azerbaijan,AZE,AZEr106,Guba Khachmaz
Azerbaijan,AZE,AZEr105,Lankaran
Azerbaijan,AZE,AZEr104,Shaki Zaqatala
Azerbaijan,AZE,AZEr108,Yukhari Karabakh
Bahamas,BHS,BHSt,Total
Bahrain,BHR,BHRt,Total
Bangladesh,BGD,BGDt,Total
Bangladesh,BGD,BGDr214," Bagerhat, Khulna, Satkhira"
Bangladesh,BGD,BGDr204," Bandarban, Cox s Bazar"
Bangladesh,BGD,BGDr202," Barguna, Bhola, Patuakhali"
Bangladesh,BGD,BGDr201," Barisal, Jhalokati, Pirojpur"
Bangladesh,BGD,BGDr219," Bogra, Gaibandha, Jaypurhat"
Bangladesh,BGD,BGDr207," Brahmanbaria, Chandpur, Comilla"
Bangladesh,BGD,BGDr203, Chittagong
Bangladesh,BGD,BGDr216," Chuadanga, Jhenaidah, Kushtia, Meherpur"
Bangladesh,BGD,BGDr208, Dhaka
Bangladesh,BGD,BGDr220," Dinajpur, Nilphamari, Panchagarh, Thakurgaon"
Bangladesh,BGD,BGDr212," Faridpur, Manikganj, Rajbari"
Bangladesh,BGD,BGDr206," Feni, Lakshmipur, Noakhali"
Bangladesh,BGD,BGDr209," Gazipur, Narayanganj, Narsingdi"
Bangladesh,BGD,BGDr213," Gopalganj, Madaripur, Munshiganj, Shariatpur"
Bangladesh,BGD,BGDr223," Habiganj, Sunamganj"
Bangladesh,BGD,BGDr210," Jamalpur, Sherpur, Tangail"
Bangladesh,BGD,BGDr215," Jessore, Magura, Narail"
Bangladesh,BGD,BGDr205," Khagrachhari, Rangamati (Chattagram)"
Bangladesh,BGD,BGDr211," Kishoreganj, Mymensingh, Netrakona"
Bangladesh,BGD,BGDr221," Kurigram, Lalmonirhat, Rangpur"
Bangladesh,BGD,BGDr222," Maulvibazar, Sylhet"
Bangladesh,BGD,BGDr217," Naogaon, Nawabganj, Rajshahi"
Bangladesh,BGD,BGDr218," Natore, Pabna, Sirajganj"
Barbados,BRB,BRBt,Total
Barbados,BRB,BRBr102,Christ Church and St. Philip
Barbados,BRB,BRBr101,St Michael
Barbados,BRB,BRBr103,"St. James, St. George, and St. Thomas"
Barbados,BRB,BRBr104,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John"
Belarus,BLR,BLRt,Total
Belarus,BLR,BLRr101,Brest region
Belarus,BLR,BLRr103,Gomel region
Belarus,BLR,BLRr104,Grodno region
Belarus,BLR,BLRr105,Minsk region
Belarus,BLR,BLRr106,Mogilev region
Belarus,BLR,BLRr102,Vitebsk region
Belgium,BEL,BELt,Total
Belgium,BEL,BELr101,Bruxelles - Brussel
Belgium,BEL,BELr102,Prov. Antwerpen
Belgium,BEL,BELr107,Prov. Brabant Wallon
Belgium,BEL,BELr108,Prov. Hainaut
Belgium,BEL,BELr109,Prov. Liege
Belgium,BEL,BELr103,Prov. Limburg
Belgium,BEL,BELr110,Prov. Luxembourg
Belgium,BEL,BELr111,Prov. Namur
Belgium,BEL,BELr104,Prov. Oost-Vlaanderen
Belgium,BEL,BELr105,Prov. Vlaams-Brabant
Belgium,BEL,BELr106,Prov. West-Vlaanderen
Belize,BLZ,BLZt,Total
Belize,BLZ,BLZr102,Belize
Belize,BLZ,BLZr103,Cayo
Belize,BLZ,BLZr101,"Corozal, Orange Walk"
Belize,BLZ,BLZr104,"Stann Creek, Toledo"
Benin,BEN,BENt,Total
Benin,BEN,BENr101,Atacora (incl Donga)
Benin,BEN,BENr102,Atlantique (incl Littoral (Cotonou))
Benin,BEN,BENr103,Borgou (incl Alibori)
Benin,BEN,BENr104,Mono (incl Couffo)
Benin,BEN,BENr105,Queme (incl Plateau)
Benin,BEN,BENr106,Zou (incl Collines)
Bhutan,BTN,BTNt,Total
