Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",,,,,,,,,,,,,,,,,,,,47.9,,,,,52.5,,,
"Afghanistan","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",,,,,,,,,,,,,,,,,,,,2.60,,,,,4.93,,,
"Afghanistan","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",,,,,,,,,,,,,,,,,,,,7.22,,,,,14.6,,,
"Afghanistan","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",,,,,,,,,,,,,,,,,,,,16.0,,,,,20.5,,,
"Afghanistan","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",,,,,,,,,,,,,,,,,,,,19.6,,,,,19.7,,,
"Afghanistan","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",,,,,,,,,,,,,,,,,,,,11.7,,,,,33.7,,,
"Afghanistan","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",,,,,,,,,,,,,,,,,,,,1.49,,,,,3.28,,,
"Afghanistan","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",,,,,,,,,,,,,,,,,,,,15.1,,,,,14.0,,,
"Albania","ALB","Subnat","ALBr201"," Berat",,,,,,,,,,,,,,,38.2,,,,35.2,,,,,,,,46.1,
"Albania","ALB","Subnat","ALBr202"," Diber",,,,,,,,,,,,,,,17.8,,,,18.9,,,,,,,,23.8,
"Albania","ALB","Subnat","ALBr203"," Durres",,,,,,,,,,,,,,,53.3,,,,52.8,,,,,,,,84.1,
"Albania","ALB","Subnat","ALBr204"," Elbasan",,,,,,,,,,,,,,,34.3,,,,34.4,,,,,,,,40.7,
"Albania","ALB","Subnat","ALBr205"," Fier",,,,,,,,,,,,,,,30.9,,,,30.8,,,,,,,,42.4,
"Albania","ALB","Subnat","ALBr206"," Gjirokaster",,,,,,,,,,,,,,,31.3,,,,43.5,,,,,,,,52.1,
"Albania","ALB","Subnat","ALBr207"," Korce",,,,,,,,,,,,,,,36.8,,,,40.9,,,,,,,,41.6,
"Albania","ALB","Subnat","ALBr208"," Kukes",,,,,,,,,,,,,,,19.1,,,,28.5,,,,,,,,35.1,
