Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",,,,,,,,,,,,,,,,,,,,4.30,,,,,4.81,,,
"Afghanistan","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",,,,,,,,,,,,,,,,,,,,1.90,,,,,2.64,,,
"Afghanistan","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",,,,,,,,,,,,,,,,,,,,2.58,,,,,3.29,,,
"Afghanistan","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",,,,,,,,,,,,,,,,,,,,1.59,,,,,3.33,,,
"Afghanistan","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",,,,,,,,,,,,,,,,,,,,1.58,,,,,2.75,,,
"Afghanistan","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",,,,,,,,,,,,,,,,,,,,1.03,,,,,1.77,,,
"Afghanistan","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",,,,,,,,,,,,,,,,,,,,2.44,,,,,2.38,,,
"Afghanistan","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",,,,,,,,,,,,,,,,,,,,1.45,,,,,2.26,,,
"Albania","ALB","Subnat","ALBr201"," Berat",,,,,,,,,,,,,,,9.06,,,,8.88,,,,,,,,10.8,
"Albania","ALB","Subnat","ALBr202"," Diber",,,,,,,,,,,,,,,8.75,,,,8.03,,,,,,,,9.95,
"Albania","ALB","Subnat","ALBr203"," Durres",,,,,,,,,,,,,,,9.15,,,,8.82,,,,,,,,11.5,
"Albania","ALB","Subnat","ALBr204"," Elbasan",,,,,,,,,,,,,,,9.20,,,,8.25,,,,,,,,10.3,
"Albania","ALB","Subnat","ALBr205"," Fier",,,,,,,,,,,,,,,9.09,,,,8.65,,,,,,,,10.9,
"Albania","ALB","Subnat","ALBr206"," Gjirokaster",,,,,,,,,,,,,,,8.97,,,,8.69,,,,,,,,11.6,
"Albania","ALB","Subnat","ALBr207"," Korce",,,,,,,,,,,,,,,8.72,,,,9.07,,,,,,,,11.0,
"Albania","ALB","Subnat","ALBr208"," Kukes",,,,,,,,,,,,,,,8.30,,,,8.79,,,,,,,,11.2,
"Albania","ALB","Subnat","ALBr209"," Lezhe",,,,,,,,,,,,,,,8.32,,,,8.22,,,,,,,,10.7,
"Albania","ALB","Subnat","ALBr210"," Shkoder",,,,,,,,,,,,,,,9.08,,,,8.64,,,,,,,,10.9,
"Albania","ALB","Subnat","ALBr211"," Tirana",,,,,,,,,,,,,,,9.93,,,,10.7,,,,,,,,13.0,
"Albania","ALB","Subnat","ALBr212"," Vlore",,,,,,,,,,,,,,,9.52,,,,9.09,,,,,,,,11.6,
