,iso_code,year,iwipov70,iwipov50,iwipov35,shdi_educ,shdi_health,shdi_income,iwi,regpopm,shdi,ln_pop,steel,exports,ln_steel,agri,bank,budget,business,civil,commod,comms,debt,educ,emergency,energy,environment,food_aid,health,industry,multisector,ngo_support,oda,oof,pop_policy,social_infra,total,trade_tourism,transport,unspecified,vague,water,women,social_sector,economic_sector,productive_sector,agri_d,bank_d,budget_d,business_d,civil_d,commod_d,comms_d,debt_d,educ_d,emergency_d,energy_d,environment_d,food_aid_d,health_d,industry_d,multisector_d,ngo_support_d,oda_d,oof_d,pop_policy_d,social_infra_d,total_d,trade_tourism_d,transport_d,unspecified_d,vague_d,water_d,women_d,social_sector_d,economic_sector_d,productive_sector_d,agri_amount,bank_amount,budget_amount,business_amount,civil_amount,commod_amount,comms_amount,debt_amount,educ_amount,emergency_amount,energy_amount,environment_amount,food_aid_amount,health_amount,industry_amount,multisector_amount,ngo_support_amount,oda_amount,oof_amount,pop_policy_amount,social_infra_amount,total_amount,trade_tourism_amount,transport_amount,unspecified_amount,water_amount,women_amount,ln_agri_amount,ln_bank_amount,ln_budget_amount,ln_business_amount,ln_civil_amount,ln_commod_amount,ln_comms_amount,ln_debt_amount,ln_educ_amount,ln_emergency_amount,ln_energy_amount,ln_environment_amount,ln_food_aid_amount,ln_health_amount,ln_industry_amount,ln_multisector_amount,ln_ngo_support_amount,ln_oda_amount,ln_oof_amount,ln_pop_policy_amount,ln_social_infra_amount,ln_total_amount,ln_trade_tourism_amount,ln_transport_amount,ln_unspecified_amount,ln_water_amount,ln_women_amount,total_p,bank_p,budget_p,business_p,civil_p,commod_p,comms_p,debt_p,educ_p,emergency_p,energy_p,environment_p,food_aid_p,health_p,industry_p,multisector_p,ngo_support_p,oda_p,oof_p,pop_policy_p,social_infra_p,agri_p,trade_tourism_p,transport_p,unspecified_p,vague_p,water_p,women_p,social_sector_p,economic_sector_p,productive_sector_p,fdi
0,AFG,1998,,,,0.213,0.537,0.34299999999999997,,19700000.0,0.34,16.796129193708218,114588.0,,11.649098365738203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.0,0.06666666666666667,0.0,0.2,0.0,0.06666666666666667,0.0,0.26666666666666666,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.5333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.06666666666666667,0.0,-13376.954143448693
1,SEN,1998,0.8959999999999999,0.7659999999999999,0.645,0.20600000000000002,0.575,0.473,31.9,9350000.0,0.38299999999999995,16.05088690126487,114588.0,,11.649098365738203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.4,0.06666666666666667,0.0,0.06666666666666667,0.2,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.3333333333333333,0.13333333333333333,0.2,95117918.71040201
2,RWA,1998,0.993,0.98,0.958,0.243,0.364,0.315,7.67,6960000.0,0.303,15.755690032310602,114588.0,,11.649098365738203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7333333333333333,0.0,0.0,0.0,0.2,0.0,0.06666666666666667,0.0,0.4,0.0,0.06666666666666667,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.6666666666666666,0.06666666666666667,0.0,0.13333333333333333,0.26666666666666666,0.0,0.2,0.0,0.13333333333333333,0.0,0.0,0.4666666666666667,0.26666666666666666,0.26666666666666666,9497637.441848572
3,PHL,1998,0.731,0.426,0.249,0.555,0.7490000000000001,0.581,53.2,74700000.0,0.623,18.128990650103045,114588.0,,11.649098365738203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.5333333333333333,0.06666666666666667,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.2,0.0,0.3333333333333333,3059309412.6067157
4,PER,1998,0.721,0.513,0.392,0.613,0.773,0.626,46.6,25700000.0,0.667,17.06200154986545,114588.0,,11.649098365738203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.2,0.26666666666666666,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.4666666666666667,0.06666666666666667,0.0,2199103199.141922
5,PNG,1998,,,,0.268,0.597,0.49,,5580000.0,0.428,15.534699334357494,114588.0,,11.649098365738203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.06666666666666667,0.0,0.0,0.7333333333333333,0.26666666666666666,0.0,0.0,1.0,0.06666666666666667,0.0,0.26666666666666666,0.13333333333333333,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,1.0,0.06666666666666667,0.4,146395381.47571507
6,PSE,1998,,,,,,,,,,,114588.0,,11.649098365738203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,279542363.8887828
7,PAK,1998,0.778,0.619,0.494,0.248,0.6509999999999999,0.528,41.4,135000000.0,0.44,18.720785336402702,114588.0,,11.649098365738203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.0,0.0,0.0,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.4666666666666667,0.6,0.4,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.7333333333333333,0.7333333333333333,0.0,0.2,0.0,0.0,0.3333333333333333,0.0,0.4,0.0,0.0,0.5333333333333333,0.5333333333333333,0.13333333333333333,676873879.6585038
8,MKD,1998,,,,,,,,,,,114588.0,,11.649098365738203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.13333333333333333,0.0,202201212.42731547
9,NGA,1998,0.9540000000000001,0.847,0.667,,,,30.0,,,,114588.0,,11.649098365738203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.3333333333333333,0.0,0.2,0.0,0.0,0.2,0.06666666666666667,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.4666666666666667,0.3333333333333333,0.06666666666666667,400728945.04356045
