Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",,,,,,,,,,,,,,,,,86.6,85.0,83.4,81.9,80.3,78.7,77.1,75.5,73.9,72.3,70.7,69.1
"Afghanistan","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",,,,,,,,,,,,,,,,,100.0,99.9,99.8,99.7,99.6,99.5,99.4,99.4,99.3,99.2,99.1,99.0
"Afghanistan","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",,,,,,,,,,,,,,,,,96.7,96.5,96.4,96.2,96.0,95.8,95.6,95.5,95.3,95.1,94.9,94.7
"Afghanistan","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",,,,,,,,,,,,,,,,,99.9,99.0,98.0,97.1,93.4,89.7,86.1,82.4,78.7,75.1,71.4,67.7
"Afghanistan","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",,,,,,,,,,,,,,,,,89.9,90.4,90.9,91.4,91.9,92.4,92.9,93.4,93.9,94.3,94.8,95.3
"Afghanistan","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",,,,,,,,,,,,,,,,,94.6,93.3,92.0,90.8,89.5,88.2,87.0,85.7,84.4,83.2,81.9,80.6
"Afghanistan","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",,,,,,,,,,,,,,,,,91.5,92.3,93.0,93.8,94.5,95.2,96.0,96.7,97.5,98.2,98.9,99.7
"Afghanistan","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",,,,,,,,,,,,,,,,,87.0,86.9,86.8,86.7,86.6,86.5,86.4,86.3,86.2,86.1,86.0,85.9
"Albania","ALB","Subnat","ALBr201"," Berat",,,,,,,,,,,,27.5,24.4,21.4,18.3,15.3,12.2,9.20,6.15,5.94,5.74,5.53,5.32,5.11,4.91,4.70,4.49,4.28
"Albania","ALB","Subnat","ALBr202"," Diber",,,,,,,,,,,,12.2,13.2,14.3,15.4,16.5,17.5,18.6,19.7,18.2,16.8,15.4,14.0,12.6,11.1,9.71,8.29,6.87
"Albania","ALB","Subnat","ALBr203"," Durres",,,,,,,,,,,,16.6,15.1,13.6,12.1,10.6,9.08,7.58,6.07,5.52,4.96,4.41,3.86,3.30,2.75,2.19,1.64,1.10
"Albania","ALB","Subnat","ALBr204"," Elbasan",,,,,,,,,,,,30.8,28.4,26.0,23.7,21.3,19.0,16.6,14.2,13.2,12.2,11.2,10.3,9.26,8.26,7.27,6.27,5.28
"Albania","ALB","Subnat","ALBr205"," Fier",,,,,,,,,,,,49.3,44.0,38.7,33.4,28.1,22.9,17.6,12.3,12.2,12.1,12.0,11.9,11.8,11.7,11.6,11.5,11.4
"Albania","ALB","Subnat","ALBr206"," Gjirokaster",,,,,,,,,,,,6.91,7.54,8.16,8.79,9.42,10.0,10.7,11.3,10.2,9.14,8.06,6.99,5.91,4.83,3.75,2.67,1.78
"Albania","ALB","Subnat","ALBr207"," Korce",,,,,,,,,,,,18.7,17.7,16.7,15.7,14.7,13.7,12.6,11.6,10.7,9.86,8.98,8.10,7.21,6.33,5.44,4.56,3.68
"Albania","ALB","Subnat","ALBr208"," Kukes",,,,,,,,,,,,8.53,10.6,12.6,14.7,16.8,18.8,20.9,22.9,20.8,18.7,16.5,14.4,12.2,10.1,7.97,5.83,3.89
"Albania","ALB","Subnat","ALBr209"," Lezhe",,,,,,,,,,,,42.8,38.6,34.4,30.3,26.1,21.9,17.7,13.5,12.8,12.0,11.3,10.6,9.84,9.10,8.37,7.63,6.89
"Albania","ALB","Subnat","ALBr210"," Shkoder",,,,,,,,,,,,17.9,16.7,15.5,14.3,13.1,11.9,10.7,9.49,8.75,8.00,7.26,6.52,5.77,5.03,4.28,3.54,2.80
"Albania","ALB","Subnat","ALBr211"," Tirana",,,,,,,,,,,,10.9,9.90,8.88,7.86,6.84,5.82,4.80,3.78,3.74,3.70,3.65,3.61,3.57,3.53,3.48,3.44,3.40
"Albania","ALB","Subnat","ALBr212"," Vlore",,,,,,,,,,,,20.9,18.5,16.2,13.8,11.5,9.12,6.77,4.42,4.39,4.36,4.33,4.31,4.28,4.25,4.22,4.19,4.16
"Algeria","DZA","Subnat","DZAr104","Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",,,,,,,,,51.1,48.2,45.4,42.5,39.7,36.8,33.9,31.1,28.2,25.4,22.5,19.6,16.8,13.9,11.1,8.20,5.34,2.48,,
"Algeria","DZA","Subnat","DZAr105","Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",,,,,,,,,56.1,52.4,48.7,45.0,41.3,37.6,33.9,30.2,26.5,22.8,19.1,15.4,11.8,8.06,4.37,2.92,1.46,0.01,,
