Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",,,,,,,,,,,,,,,,,,,,51.9,,,,,36.8,,,
"Afghanistan","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",,,,,,,,,,,,,,,,,,,,83.1,,,,,76.5,,,
"Afghanistan","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",,,,,,,,,,,,,,,,,,,,78.8,,,,,77.9,,,
"Afghanistan","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",,,,,,,,,,,,,,,,,,,,77.8,,,,,37.6,,,
"Afghanistan","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",,,,,,,,,,,,,,,,,,,,71.0,,,,,61.6,,,
"Afghanistan","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",,,,,,,,,,,,,,,,,,,,73.5,,,,,62.8,,,
"Afghanistan","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",,,,,,,,,,,,,,,,,,,,52.5,,,,,53.6,,,
"Afghanistan","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",,,,,,,,,,,,,,,,,,,,68.4,,,,,57.9,,,
"Albania","ALB","Subnat","ALBr201"," Berat",,,,,,,,,,,,,,,2.09,,,,0.73,,,,,,,,0.25,
"Albania","ALB","Subnat","ALBr202"," Diber",,,,,,,,,,,,,,,2.92,,,,4.60,,,,,,,,0.61,
"Albania","ALB","Subnat","ALBr203"," Durres",,,,,,,,,,,,,,,1.27,,,,0.00,,,,,,,,0.13,
"Albania","ALB","Subnat","ALBr204"," Elbasan",,,,,,,,,,,,,,,4.10,,,,1.62,,,,,,,,0.35,
"Albania","ALB","Subnat","ALBr205"," Fier",,,,,,,,,,,,,,,3.99,,,,1.27,,,,,,,,0.68,
"Albania","ALB","Subnat","ALBr206"," Gjirokaster",,,,,,,,,,,,,,,1.31,,,,1.77,,,,,,,,0.12,
