Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",,,,,,,,,,,,,,,,,60.9,57.9,54.9,51.9,48.9,45.9,42.8,39.8,36.8,33.8,30.8,27.8
"Afghanistan","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",,,,,,,,,,,,,,,,,87.1,85.8,84.5,83.1,81.8,80.5,79.1,77.8,76.5,75.1,73.8,72.5
"Afghanistan","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",,,,,,,,,,,,,,,,,79.3,79.1,78.9,78.8,78.6,78.4,78.2,78.0,77.9,77.7,77.5,77.3
"Afghanistan","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",,,,,,,,,,,,,,,,,99.9,92.5,85.2,77.8,69.8,61.8,53.7,45.7,37.6,29.6,21.6,13.5
"Afghanistan","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",,,,,,,,,,,,,,,,,76.7,74.8,72.9,71.0,69.1,67.3,65.4,63.5,61.6,59.7,57.8,56.0
"Afghanistan","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",,,,,,,,,,,,,,,,,80.0,77.8,75.7,73.5,71.4,69.2,67.1,64.9,62.8,60.6,58.5,56.3
"Afghanistan","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",,,,,,,,,,,,,,,,,51.9,52.1,52.3,52.5,52.7,52.9,53.1,53.4,53.6,53.8,54.0,54.2
"Afghanistan","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",,,,,,,,,,,,,,,,,74.6,72.5,70.4,68.4,66.3,64.2,62.1,60.0,57.9,55.9,53.8,51.7
"Albania","ALB","Subnat","ALBr201"," Berat",,,,,,,,,,,,3.11,2.77,2.43,2.09,1.75,1.41,1.07,0.73,0.67,0.61,0.55,0.49,0.43,0.37,0.31,0.25,0.19
"Albania","ALB","Subnat","ALBr202"," Diber",,,,,,,,,,,,1.66,2.08,2.50,2.92,3.34,3.76,4.18,4.60,4.10,3.60,3.10,2.61,2.11,1.61,1.11,0.61,0.41
"Albania","ALB","Subnat","ALBr203"," Durres",,,,,,,,,,,,2.22,1.91,1.59,1.27,0.95,0.64,0.32,0.00,0.02,0.03,0.05,0.07,0.08,0.10,0.11,0.13,0.15
"Albania","ALB","Subnat","ALBr204"," Elbasan",,,,,,,,,,,,5.96,5.34,4.72,4.10,3.48,2.86,2.24,1.62,1.46,1.30,1.14,0.99,0.83,0.67,0.51,0.35,0.24
"Albania","ALB","Subnat","ALBr205"," Fier",,,,,,,,,,,,6.03,5.35,4.67,3.99,3.31,2.63,1.95,1.27,1.20,1.12,1.05,0.98,0.90,0.83,0.75,0.68,0.61
"Albania","ALB","Subnat","ALBr206"," Gjirokaster",,,,,,,,,,,,0.97,1.08,1.20,1.31,1.43,1.54,1.66,1.77,1.56,1.36,1.15,0.95,0.74,0.53,0.33,0.12,0.08
"Albania","ALB","Subnat","ALBr207"," Korce",,,,,,,,,,,,1.10,1.12,1.13,1.15,1.17,1.19,1.20,1.22,1.08,0.93,0.79,0.64,0.50,0.35,0.21,0.06,0.04
"Albania","ALB","Subnat","ALBr208"," Kukes",,,,,,,,,,,,0.01,0.34,0.66,0.99,1.72,2.44,3.17,3.89,3.47,3.05,2.62,2.20,1.78,1.36,0.93,0.51,0.34
"Albania","ALB","Subnat","ALBr209"," Lezhe",,,,,,,,,,,,12.6,11.1,9.54,8.02,6.50,4.99,3.47,1.95,1.88,1.81,1.74,1.67,1.60,1.53,1.46,1.39,1.32
"Albania","ALB","Subnat","ALBr210"," Shkoder",,,,,,,,,,,,2.93,2.67,2.41,2.15,1.89,1.63,1.37,1.11,0.99,0.87,0.75,0.63,0.51,0.39,0.27,0.15,0.10
"Albania","ALB","Subnat","ALBr211"," Tirana",,,,,,,,,,,,1.33,1.19,1.04,0.89,0.74,0.60,0.45,0.30,0.30,0.31,0.31,0.32,0.32,0.32,0.33,0.33,0.33
"Albania","ALB","Subnat","ALBr212"," Vlore",,,,,,,,,,,,2.95,2.57,2.18,1.79,1.40,1.02,0.63,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15
"Algeria","DZA","Subnat","DZAr104","Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",,,,,,,,,16.7,15.9,15.1,14.3,13.5,12.7,11.9,11.1,10.3,9.46,8.65,7.85,7.04,6.24,5.43,4.62,3.82,3.01,,
"Algeria","DZA","Subnat","DZAr105","Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",,,,,,,,,18.2,16.9,15.6,14.4,13.1,11.8,10.5,9.23,7.95,6.66,5.38,4.10,2.82,1.54,0.26,0.18,0.09,0.01,,
"Algeria","DZA","Subnat","DZAr106","Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",,,,,,,,,15.4,14.5,13.6,12.7,11.8,10.9,9.99,9.08,8.18,7.27,6.37,5.46,4.55,3.65,2.74,1.83,0.93,0.02,,
