Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",,,,,,,,,,,,,,,,,25.3,23.3,21.3,19.3,17.2,15.2,13.2,11.2,9.17,7.15,5.13,3.12
"Afghanistan","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",,,,,,,,,,,,,,,,,54.2,51.2,48.1,45.0,42.0,38.9,35.8,32.8,29.7,26.6,23.6,20.5
"Afghanistan","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",,,,,,,,,,,,,,,,,51.6,49.6,47.6,45.6,43.5,41.5,39.5,37.4,35.4,33.4,31.4,29.3
"Afghanistan","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",,,,,,,,,,,,,,,,,64.7,57.6,50.6,43.6,36.5,29.5,22.5,15.4,8.39,5.60,2.80,0.01
"Afghanistan","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",,,,,,,,,,,,,,,,,49.8,46.3,42.9,39.4,35.9,32.4,28.9,25.5,22.0,18.5,15.0,11.5
"Afghanistan","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",,,,,,,,,,,,,,,,,63.6,57.3,51.1,44.8,38.5,32.3,26.0,19.7,13.5,8.97,4.49,0.01
"Afghanistan","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",,,,,,,,,,,,,,,,,25.4,23.7,21.9,20.2,18.4,16.7,15.0,13.2,11.5,9.73,7.99,6.25
"Afghanistan","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",,,,,,,,,,,,,,,,,56.5,52.7,49.0,45.3,41.6,37.8,34.1,30.4,26.7,22.9,19.2,15.5
"Albania","ALB","Subnat","ALBr201"," Berat",,,,,,,,,,,,0.77,0.66,0.55,0.44,0.33,0.22,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Albania","ALB","Subnat","ALBr202"," Diber",,,,,,,,,,,,0.01,0.01,0.00,0.00,0.10,0.20,0.30,0.40,0.35,0.30,0.25,0.20,0.15,0.10,0.05,0.00,0.00
"Albania","ALB","Subnat","ALBr203"," Durres",,,,,,,,,,,,1.10,0.95,0.79,0.63,0.47,0.32,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Albania","ALB","Subnat","ALBr204"," Elbasan",,,,,,,,,,,,1.93,1.69,1.46,1.22,0.99,0.75,0.52,0.28,0.25,0.21,0.18,0.14,0.11,0.07,0.04,0.00,0.00
"Albania","ALB","Subnat","ALBr205"," Fier",,,,,,,,,,,,0.86,0.76,0.65,0.54,0.43,0.33,0.22,0.11,0.12,0.14,0.15,0.16,0.17,0.19,0.20,0.21,0.22
"Albania","ALB","Subnat","ALBr206"," Gjirokaster",,,,,,,,,,,,1.03,0.89,0.74,0.59,0.44,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Albania","ALB","Subnat","ALBr207"," Korce",,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Albania","ALB","Subnat","ALBr208"," Kukes",,,,,,,,,,,,0.01,0.01,0.00,0.00,0.06,0.12,0.17,0.23,0.20,0.17,0.14,0.12,0.09,0.06,0.03,0.00,0.00
"Albania","ALB","Subnat","ALBr209"," Lezhe",,,,,,,,,,,,2.05,1.76,1.46,1.17,0.88,0.59,0.29,0.00,0.05,0.09,0.14,0.19,0.23,0.28,0.32,0.37,0.42
"Albania","ALB","Subnat","ALBr210"," Shkoder",,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Albania","ALB","Subnat","ALBr211"," Tirana",,,,,,,,,,,,0.41,0.37,0.32,0.28,0.24,0.20,0.15,0.11,0.11,0.10,0.10,0.10,0.09,0.09,0.08,0.08,0.08
"Albania","ALB","Subnat","ALBr212"," Vlore",,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Algeria","DZA","Subnat","DZAr104","Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",,,,,,,,,9.00,8.59,8.19,7.78,7.37,6.97,6.56,6.15,5.74,5.34,4.93,4.52,4.11,3.71,3.30,2.89,2.49,2.08,,
"Algeria","DZA","Subnat","DZAr105","Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",,,,,,,,,7.20,6.69,6.17,5.66,5.15,4.63,4.12,3.60,3.09,2.57,2.06,1.54,1.03,0.51,0.00,0.00,0.01,0.01,,
"Algeria","DZA","Subnat","DZAr106","Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",,,,,,,,,6.11,5.79,5.48,5.16,4.84,4.53,4.21,3.89,3.57,3.26,2.94,2.62,2.30,1.99,1.67,1.35,1.04,0.72,,
"Algeria","DZA","Subnat","DZAr101","Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",,,,,,,,,3.10,2.88,2.67,2.45,2.23,2.02,1.80,1.59,1.37,1.16,0.94,0.73,0.51,0.30,0.08,0.06,0.03,0.01,,
"Algeria","DZA","Subnat","DZAr102","Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",,,,,,,,,5.15,4.79,4.42,4.06,3.70,3.33,2.97,2.61,2.25,1.88,1.52,1.16,0.80,0.43,0.07,0.05,0.03,0.01,,
"Algeria","DZA","Subnat","DZAr103","Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)",,,,,,,,,2.78,2.58,2.39,2.19,1.99,1.80,1.60,1.40,1.21,1.01,0.82,0.62,0.42,0.23,0.03,0.02,0.02,0.01,,
"Algeria","DZA","Subnat","DZAr107","Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)",,,,,,,,,6.80,6.35,5.89,5.44,4.99,4.53,4.08,3.62,3.17,2.71,2.26,1.80,1.35,0.89,0.44,0.30,0.15,0.01,,
"Angola","AGO","Subnat","AGOr218"," Bengo",,,,,,,,,,,,,,,,,,85.8,82.5,79.2,75.9,72.6,69.3,66.0,62.8,59.5,56.2,52.9
"Angola","AGO","Subnat","AGOr209"," Benguela",,,,,,,,,,,,,,,,,,44.5,46.0,47.5,49.0,50.5,52.0,53.5,54.9,56.4,57.9,59.4
"Angola","AGO","Subnat","AGOr211"," Bie",,,,,,,,,,,,,,,,,,99.9,99.5,99.2,98.8,95.4,92.1,88.8,85.5,82.1,78.8,75.5
"Angola","AGO","Subnat","AGOr201"," Cabinda",,,,,,,,,,,,,,,,,,26.9,26.3,25.7,25.1,24.5,23.9,23.4,22.8,22.2,21.6,21.0
"Angola","AGO","Subnat","AGOr216"," Cunene",,,,,,,,,,,,,,,,,,72.8,73.9,75.0,76.1,77.2,78.3,79.4,80.5,81.7,82.8,83.9
"Angola","AGO","Subnat","AGOr210"," Huambo",,,,,,,,,,,,,,,,,,68.8,68.9,69.1,69.2,69.4,69.5,69.7,69.9,70.0,70.2,70.3
"Angola","AGO","Subnat","AGOr215"," Huila",,,,,,,,,,,,,,,,,,56.3,57.9,59.4,60.9,62.4,63.9,65.4,66.9,68.5,70.0,71.5
"Angola","AGO","Subnat","AGOr213"," Kuando Kubango",,,,,,,,,,,,,,,,,,99.9,99.9,100.0,100,93.9,87.7,81.6,75.4,69.3,63.1,57.0
"Angola","AGO","Subnat","AGOr205"," Kuanza Norte",,,,,,,,,,,,,,,,,,97.5,93.3,89.0,84.7,80.5,76.2,71.9,67.7,63.4,59.1,54.9
"Angola","AGO","Subnat","AGOr206"," Kuanza Sul",,,,,,,,,,,,,,,,,,94.8,93.0,91.2,89.3,87.5,85.7,83.9,82.1,80.2,78.4,76.6
"Angola","AGO","Subnat","AGOr204"," Luanda",,,,,,,,,,,,,,,,,,2.52,3.07,3.62,4.17,4.72,5.27,5.82,6.37,6.92,7.47,8.02
"Angola","AGO","Subnat","AGOr208"," Lunda Norte",,,,,,,,,,,,,,,,,,99.9,97.8,95.7,93.5,87.9,82.2,76.5,70.9,65.2,59.5,53.8
"Angola","AGO","Subnat","AGOr217"," Lunda Sul",,,,,,,,,,,,,,,,,,99.9,99.9,100.0,100,91.7,83.4,75.1,66.8,58.5,50.1,41.8
"Angola","AGO","Subnat","AGOr207"," Malange",,,,,,,,,,,,,,,,,,99.9,95.8,91.7,87.7,81.8,75.9,70.0,64.2,58.3,52.4,46.6
"Angola","AGO","Subnat","AGOr212"," Moxico",,,,,,,,,,,,,,,,,,99.9,97.9,95.9,93.9,90.6,87.2,83.9,80.5,77.2,73.8,70.5
"Angola","AGO","Subnat","AGOr214"," Namibe",,,,,,,,,,,,,,,,,,51.8,51.7,51.5,51.3,51.2,51.0,50.8,50.6,50.5,50.3,50.1
"Angola","AGO","Subnat","AGOr203"," Uige",,,,,,,,,,,,,,,,,,73.0,73.3,73.7,74.1,74.4,74.8,75.1,75.5,75.8,76.2,76.5
"Angola","AGO","Subnat","AGOr202"," Zaire",,,,,,,,,,,,,,,,,,99.9,99.4,98.9,98.4,87.8,77.2,66.5,55.9,45.2,34.6,24.0
"Argentina","ARG","Subnat","ARGr103","Catamarca, La Rioja, San Juan",,,,,,,,,,,,,,,,,,0.15,0.15,0.15,0.15,0.15,0.15,0.15,,,,
"Argentina","ARG","Subnat","ARGr106","Chaco, Formosa",,,,,,,,,,,,,,,,,,2.46,2.46,2.46,2.46,2.46,2.46,2.46,,,,
"Argentina","ARG","Subnat","ARGr107","Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego",,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,
"Argentina","ARG","Subnat","ARGr101","City of Buenos Aires",,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Argentina","ARG","Subnat","ARGr104","Cordoba",,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Argentina","ARG","Subnat","ARGr105","Corrientes, Entre Rios, Misiones",,,,,,,,,,,,,,,,,,0.74,0.74,0.74,0.74,0.74,0.74,0.74,,,,
"Argentina","ARG","Subnat","ARGr108","Jujuy, Salta",,,,,,,,,,,,,,,,,,0.51,0.51,0.51,0.51,0.51,0.51,0.51,,,,
"Argentina","ARG","Subnat","ARGr109","La Pampa, San Luis, Mendoza",,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Argentina","ARG","Subnat","ARGr102","Rest of Buenos Aires",,,,,,,,,,,,,,,,,,0.10,0.10,0.10,0.10,0.10,0.10,0.10,,,,
"Argentina","ARG","Subnat","ARGr110","Santa Fe",,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,,,
"Argentina","ARG","Subnat","ARGr111","Santiago del Estero, Tucuman",,,,,,,,,,,,,,,,,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,,,,
"Armenia","ARM","Subnat","ARMr101","Aragatsotn",,,,,,,20.6,19.0,17.4,15.8,14.3,12.7,11.1,9.50,7.92,6.34,4.75,3.17,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Armenia","ARM","Subnat","ARMr102","Ararat",,,,,,,2.24,2.06,1.89,1.72,1.55,1.38,1.20,1.03,0.86,0.69,0.52,0.34,0.17,0.00,0.02,0.03,0.05,0.06,0.08,0.09,0.11,0.12
