Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",,,,,,,,,,,,,,,,,,,,,,,,0.540,0.548,0.556,0.564,0.572
"Afghanistan","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",,,,,,,,,,,,,,,,,,,,,,,,0.411,0.414,0.417,0.420,0.423
"Afghanistan","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",,,,,,,,,,,,,,,,,,,,,,,,0.393,0.399,0.405,0.411,0.417
"Afghanistan","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",,,,,,,,,,,,,,,,,,,,,,,,0.425,0.431,0.437,0.443,0.449
"Afghanistan","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",,,,,,,,,,,,,,,,,,,,,,,,0.344,0.348,0.352,0.356,0.360
"Afghanistan","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",,,,,,,,,,,,,,,,,,,,,,,,0.248,0.251,0.254,0.257,0.260
"Afghanistan","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",,,,,,,,,,,,,,,,,,,,,,,,0.374,0.378,0.382,0.386,0.390
"Afghanistan","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",,,,,,,,,,,,,,,,,,,,,,,,0.337,0.340,0.343,0.346,0.349
"Albania","ALB","Subnat","ALBr201"," Berat",,,,,,,,,,,,,,,,,,,,,,,,0.728,0.728,0.728,0.728,0.728
"Albania","ALB","Subnat","ALBr202"," Diber",,,,,,,,,,,,,,,,,,,,,,,,0.651,0.651,0.651,0.651,0.651
"Albania","ALB","Subnat","ALBr203"," Durres",,,,,,,,,,,,,,,,,,,,,,,,0.759,0.759,0.759,0.759,0.759
"Albania","ALB","Subnat","ALBr204"," Elbasan",,,,,,,,,,,,,,,,,,,,,,,,0.735,0.735,0.735,0.735,0.735
"Albania","ALB","Subnat","ALBr205"," Fier",,,,,,,,,,,,,,,,,,,,,,,,0.709,0.709,0.709,0.709,0.709
"Albania","ALB","Subnat","ALBr206"," Gjirokaster",,,,,,,,,,,,,,,,,,,,,,,,0.751,0.751,0.751,0.751,0.751
"Albania","ALB","Subnat","ALBr207"," Korce",,,,,,,,,,,,,,,,,,,,,,,,0.741,0.741,0.741,0.741,0.741
"Albania","ALB","Subnat","ALBr208"," Kukes",,,,,,,,,,,,,,,,,,,,,,,,0.631,0.631,0.631,0.631,0.631
"Albania","ALB","Subnat","ALBr209"," Lezhe",,,,,,,,,,,,,,,,,,,,,,,,0.697,0.697,0.697,0.697,0.697
"Albania","ALB","Subnat","ALBr210"," Shkoder",,,,,,,,,,,,,,,,,,,,,,,,0.714,0.714,0.714,0.714,0.714
"Albania","ALB","Subnat","ALBr211"," Tirana",,,,,,,,,,,,,,,,,,,,,,,,0.831,0.831,0.831,0.831,0.831
"Albania","ALB","Subnat","ALBr212"," Vlore",,,,,,,,,,,,,,,,,,,,,,,,0.778,0.778,0.778,0.778,0.778
"Algeria","DZA","Subnat","DZAr104","Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",,,,,,,,,,,,,,,,,,,,,,,,0.619,0.619,0.619,0.619,0.619
"Algeria","DZA","Subnat","DZAr105","Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",,,,,,,,,,,,,,,,,,,,,,,,0.666,0.666,0.666,0.666,0.666
"Algeria","DZA","Subnat","DZAr106","Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",,,,,,,,,,,,,,,,,,,,,,,,0.629,0.629,0.629,0.629,0.629
"Algeria","DZA","Subnat","DZAr101","Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",,,,,,,,,,,,,,,,,,,,,,,,0.692,0.693,0.694,0.695,0.696
"Algeria","DZA","Subnat","DZAr102","Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",,,,,,,,,,,,,,,,,,,,,,,,0.710,0.711,0.712,0.713,0.714
"Algeria","DZA","Subnat","DZAr103","Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)",,,,,,,,,,,,,,,,,,,,,,,,0.643,0.644,0.645,0.646,0.647
"Algeria","DZA","Subnat","DZAr107","Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)",,,,,,,,,,,,,,,,,,,,,,,,0.664,0.665,0.666,0.667,0.668
"Angola","AGO","Subnat","AGOr218"," Bengo",,,,,,,,,,,,,,,,,,,,,,,,0.433,0.433,0.433,0.433,0.433
"Angola","AGO","Subnat","AGOr209"," Benguela",,,,,,,,,,,,,,,,,,,,,,,,0.469,0.469,0.469,0.469,0.469
"Angola","AGO","Subnat","AGOr211"," Bie",,,,,,,,,,,,,,,,,,,,,,,,0.379,0.379,0.379,0.379,0.379
"Angola","AGO","Subnat","AGOr201"," Cabinda",,,,,,,,,,,,,,,,,,,,,,,,0.622,0.622,0.622,0.622,0.622
"Angola","AGO","Subnat","AGOr216"," Cunene",,,,,,,,,,,,,,,,,,,,,,,,0.400,0.400,0.400,0.400,0.400
"Angola","AGO","Subnat","AGOr210"," Huambo",,,,,,,,,,,,,,,,,,,,,,,,0.437,0.437,0.437,0.437,0.437
"Angola","AGO","Subnat","AGOr215"," Huila",,,,,,,,,,,,,,,,,,,,,,,,0.430,0.430,0.430,0.430,0.430
"Angola","AGO","Subnat","AGOr213"," Kuando Kubango",,,,,,,,,,,,,,,,,,,,,,,,0.363,0.363,0.363,0.363,0.363
"Angola","AGO","Subnat","AGOr205"," Kuanza Norte",,,,,,,,,,,,,,,,,,,,,,,,0.447,0.447,0.447,0.447,0.447
"Angola","AGO","Subnat","AGOr206"," Kuanza Sul",,,,,,,,,,,,,,,,,,,,,,,,0.318,0.318,0.318,0.318,0.318
"Angola","AGO","Subnat","AGOr204"," Luanda",,,,,,,,,,,,,,,,,,,,,,,,0.627,0.627,0.627,0.627,0.627
"Angola","AGO","Subnat","AGOr208"," Lunda Norte",,,,,,,,,,,,,,,,,,,,,,,,0.372,0.372,0.372,0.372,0.372
"Angola","AGO","Subnat","AGOr217"," Lunda Sul",,,,,,,,,,,,,,,,,,,,,,,,0.470,0.470,0.470,0.470,0.470
"Angola","AGO","Subnat","AGOr207"," Malange",,,,,,,,,,,,,,,,,,,,,,,,0.446,0.446,0.446,0.446,0.446
"Angola","AGO","Subnat","AGOr212"," Moxico",,,,,,,,,,,,,,,,,,,,,,,,0.381,0.381,0.381,0.381,0.381
"Angola","AGO","Subnat","AGOr214"," Namibe",,,,,,,,,,,,,,,,,,,,,,,,0.519,0.519,0.519,0.519,0.519
"Angola","AGO","Subnat","AGOr203"," Uige",,,,,,,,,,,,,,,,,,,,,,,,0.455,0.455,0.455,0.455,0.455
"Angola","AGO","Subnat","AGOr202"," Zaire",,,,,,,,,,,,,,,,,,,,,,,,0.533,0.533,0.533,0.533,0.533
"Argentina","ARG","Subnat","ARGr103","Catamarca, La Rioja, San Juan",,,,,,,,,,,,,,,,,,,,,,,,0.843,0.843,0.843,0.843,0.843
"Argentina","ARG","Subnat","ARGr106","Chaco, Formosa",,,,,,,,,,,,,,,,,,,,,,,,0.809,0.809,0.809,0.809,0.809
"Argentina","ARG","Subnat","ARGr107","Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego",,,,,,,,,,,,,,,,,,,,,,,,0.838,0.838,0.838,0.838,0.838
"Argentina","ARG","Subnat","ARGr101","City of Buenos Aires",,,,,,,,,,,,,,,,,,,,,,,,0.932,0.932,0.932,0.932,0.932
"Argentina","ARG","Subnat","ARGr104","Cordoba",,,,,,,,,,,,,,,,,,,,,,,,0.847,0.847,0.847,0.847,0.847
"Argentina","ARG","Subnat","ARGr105","Corrientes, Entre Rios, Misiones",,,,,,,,,,,,,,,,,,,,,,,,0.793,0.793,0.793,0.793,0.793
"Argentina","ARG","Subnat","ARGr108","Jujuy, Salta",,,,,,,,,,,,,,,,,,,,,,,,0.841,0.841,0.841,0.841,0.841
"Argentina","ARG","Subnat","ARGr109","La Pampa, San Luis, Mendoza",,,,,,,,,,,,,,,,,,,,,,,,0.845,0.845,0.845,0.845,0.845
"Argentina","ARG","Subnat","ARGr102","Rest of Buenos Aires",,,,,,,,,,,,,,,,,,,,,,,,0.818,0.818,0.818,0.818,0.818
"Argentina","ARG","Subnat","ARGr110","Santa Fe",,,,,,,,,,,,,,,,,,,,,,,,0.864,0.864,0.864,0.864,0.864
"Argentina","ARG","Subnat","ARGr111","Santiago del Estero, Tucuman",,,,,,,,,,,,,,,,,,,,,,,,0.808,0.808,0.808,0.808,0.808
"Armenia","ARM","Subnat","ARMr101","Aragatsotn",,,,,,,,,,,,,,,,,,,,,,,,0.729,0.729,0.729,0.729,0.729
"Armenia","ARM","Subnat","ARMr102","Ararat",,,,,,,,,,,,,,,,,,,,,,,,0.703,0.703,0.703,0.703,0.703
"Armenia","ARM","Subnat","ARMr103","Armavir",,,,,,,,,,,,,,,,,,,,,,,,0.695,0.695,0.695,0.695,0.695
"Armenia","ARM","Subnat","ARMr104","Gegharkunik",,,,,,,,,,,,,,,,,,,,,,,,0.685,0.685,0.685,0.685,0.685
"Armenia","ARM","Subnat","ARMr106","Kotayk",,,,,,,,,,,,,,,,,,,,,,,,0.762,0.762,0.762,0.762,0.762
"Armenia","ARM","Subnat","ARMr105","Lori",,,,,,,,,,,,,,,,,,,,,,,,0.722,0.722,0.722,0.722,0.722
"Armenia","ARM","Subnat","ARMr107","Shirak",,,,,,,,,,,,,,,,,,,,,,,,0.753,0.753,0.753,0.753,0.753
"Armenia","ARM","Subnat","ARMr108","Syunik",,,,,,,,,,,,,,,,,,,,,,,,0.742,0.742,0.742,0.742,0.742
"Armenia","ARM","Subnat","ARMr110","Tavush",,,,,,,,,,,,,,,,,,,,,,,,0.728,0.728,0.728,0.728,0.728
"Armenia","ARM","Subnat","ARMr109","Vayots Dzor",,,,,,,,,,,,,,,,,,,,,,,,0.748,0.748,0.748,0.748,0.748
"Armenia","ARM","Subnat","ARMr111","Yerevan",,,,,,,,,,,,,,,,,,,,,,,,0.840,0.840,0.840,0.840,0.840
"Azerbaijan","AZE","Subnat","AZEr102","Absheron",,,,,,,,,,,,,,,,,,,,,,,,0.722,0.727,0.732,0.737,0.742
"Azerbaijan","AZE","Subnat","AZEr107","Aran",,,,,,,,,,,,,,,,,,,,,,,,0.630,0.634,0.638,0.642,0.646
"Azerbaijan","AZE","Subnat","AZEr101","Baku",,,,,,,,,,,,,,,,,,,,,,,,0.747,0.752,0.757,0.762,0.767
"Azerbaijan","AZE","Subnat","AZEr109","Dakhlik Shirvan",,,,,,,,,,,,,,,,,,,,,,,,0.622,0.625,0.628,0.631,0.634
"Azerbaijan","AZE","Subnat","AZEr103","Ganja Gazakh",,,,,,,,,,,,,,,,,,,,,,,,0.660,0.664,0.668,0.672,0.676
"Azerbaijan","AZE","Subnat","AZEr106","Guba Khachmaz",,,,,,,,,,,,,,,,,,,,,,,,0.628,0.632,0.636,0.640,0.644
"Azerbaijan","AZE","Subnat","AZEr105","Lankaran",,,,,,,,,,,,,,,,,,,,,,,,0.613,0.617,0.621,0.625,0.629
"Azerbaijan","AZE","Subnat","AZEr104","Shaki Zaqatala",,,,,,,,,,,,,,,,,,,,,,,,0.669,0.674,0.679,0.684,0.689
"Azerbaijan","AZE","Subnat","AZEr108","Yukhari Karabakh",,,,,,,,,,,,,,,,,,,,,,,,0.642,0.646,0.650,0.654,0.658
"Bangladesh","BGD","Subnat","BGDr214"," Bagerhat, Khulna, Satkhira",,,,,,,,,,,,,,,,,,,,,,,,0.526,0.526,0.526,0.526,0.526
"Bangladesh","BGD","Subnat","BGDr204"," Bandarban, Cox s Bazar",,,,,,,,,,,,,,,,,,,,,,,,0.424,0.424,0.424,0.424,0.424
"Bangladesh","BGD","Subnat","BGDr202"," Barguna, Bhola, Patuakhali",,,,,,,,,,,,,,,,,,,,,,,,0.489,0.489,0.489,0.489,0.489
"Bangladesh","BGD","Subnat","BGDr201"," Barisal, Jhalokati, Pirojpur",,,,,,,,,,,,,,,,,,,,,,,,0.625,0.625,0.625,0.625,0.625
"Bangladesh","BGD","Subnat","BGDr219"," Bogra, Gaibandha, Jaypurhat",,,,,,,,,,,,,,,,,,,,,,,,0.535,0.535,0.535,0.535,0.535
"Bangladesh","BGD","Subnat","BGDr207"," Brahmanbaria, Chandpur, Comilla",,,,,,,,,,,,,,,,,,,,,,,,0.523,0.523,0.523,0.523,0.523
"Bangladesh","BGD","Subnat","BGDr203"," Chittagong",,,,,,,,,,,,,,,,,,,,,,,,0.563,0.563,0.563,0.563,0.563
"Bangladesh","BGD","Subnat","BGDr216"," Chuadanga, Jhenaidah, Kushtia, Meherpur",,,,,,,,,,,,,,,,,,,,,,,,0.502,0.502,0.502,0.502,0.502
"Bangladesh","BGD","Subnat","BGDr208"," Dhaka",,,,,,,,,,,,,,,,,,,,,,,,0.581,0.581,0.581,0.581,0.581
"Bangladesh","BGD","Subnat","BGDr220"," Dinajpur, Nilphamari, Panchagarh, Thakurgaon",,,,,,,,,,,,,,,,,,,,,,,,0.527,0.527,0.527,0.527,0.527
"Bangladesh","BGD","Subnat","BGDr212"," Faridpur, Manikganj, Rajbari",,,,,,,,,,,,,,,,,,,,,,,,0.491,0.491,0.491,0.491,0.491
"Bangladesh","BGD","Subnat","BGDr206"," Feni, Lakshmipur, Noakhali",,,,,,,,,,,,,,,,,,,,,,,,0.477,0.477,0.477,0.477,0.477
"Bangladesh","BGD","Subnat","BGDr209"," Gazipur, Narayanganj, Narsingdi",,,,,,,,,,,,,,,,,,,,,,,,0.548,0.548,0.548,0.548,0.548
"Bangladesh","BGD","Subnat","BGDr213"," Gopalganj, Madaripur, Munshiganj, Shariatpur",,,,,,,,,,,,,,,,,,,,,,,,0.548,0.548,0.548,0.548,0.548
"Bangladesh","BGD","Subnat","BGDr223"," Habiganj, Sunamganj",,,,,,,,,,,,,,,,,,,,,,,,0.407,0.407,0.407,0.407,0.407
"Bangladesh","BGD","Subnat","BGDr210"," Jamalpur, Sherpur, Tangail",,,,,,,,,,,,,,,,,,,,,,,,0.463,0.463,0.463,0.463,0.463
"Bangladesh","BGD","Subnat","BGDr215"," Jessore, Magura, Narail",,,,,,,,,,,,,,,,,,,,,,,,0.544,0.544,0.544,0.544,0.544
"Bangladesh","BGD","Subnat","BGDr205"," Khagrachhari, Rangamati (Chattagram)",,,,,,,,,,,,,,,,,,,,,,,,0.543,0.543,0.543,0.543,0.543
"Bangladesh","BGD","Subnat","BGDr211"," Kishoreganj, Mymensingh, Netrakona",,,,,,,,,,,,,,,,,,,,,,,,0.443,0.443,0.443,0.443,0.443
"Bangladesh","BGD","Subnat","BGDr221"," Kurigram, Lalmonirhat, Rangpur",,,,,,,,,,,,,,,,,,,,,,,,0.492,0.492,0.492,0.492,0.492
"Bangladesh","BGD","Subnat","BGDr222"," Maulvibazar, Sylhet",,,,,,,,,,,,,,,,,,,,,,,,0.484,0.484,0.484,0.484,0.484
"Bangladesh","BGD","Subnat","BGDr217"," Naogaon, Nawabganj, Rajshahi",,,,,,,,,,,,,,,,,,,,,,,,0.469,0.469,0.469,0.469,0.469
"Bangladesh","BGD","Subnat","BGDr218"," Natore, Pabna, Sirajganj",,,,,,,,,,,,,,,,,,,,,,,,0.503,0.503,0.503,0.503,0.503
"Barbados","BRB","Subnat","BRBr102","Christ Church and St. Philip",,,,,,,,,,,,,,,,,,,,,,,,0.786,0.786,0.786,0.786,0.786
"Barbados","BRB","Subnat","BRBr101","St Michael",,,,,,,,,,,,,,,,,,,,,,,,0.759,0.759,0.759,0.759,0.759
"Barbados","BRB","Subnat","BRBr103","St. James, St. George, and St. Thomas",,,,,,,,,,,,,,,,,,,,,,,,0.803,0.803,0.803,0.803,0.803
"Barbados","BRB","Subnat","BRBr104","St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John",,,,,,,,,,,,,,,,,,,,,,,,0.754,0.754,0.754,0.754,0.754
"Belarus","BLR","Subnat","BLRr101","Brest region",,,,,,,,,,,,,,,,,,,,,,,,0.811,0.810,0.809,0.808,0.807
"Belarus","BLR","Subnat","BLRr103","Gomel region",,,,,,,,,,,,,,,,,,,,,,,,0.842,0.841,0.840,0.839,0.838
"Belarus","BLR","Subnat","BLRr104","Grodno region",,,,,,,,,,,,,,,,,,,,,,,,0.835,0.834,0.833,0.832,0.831
"Belarus","BLR","Subnat","BLRr105","Minsk region",,,,,,,,,,,,,,,,,,,,,,,,0.868,0.867,0.866,0.865,0.864
"Belarus","BLR","Subnat","BLRr106","Mogilev region",,,,,,,,,,,,,,,,,,,,,,,,0.813,0.812,0.811,0.810,0.809
"Belarus","BLR","Subnat","BLRr102","Vitebsk region",,,,,,,,,,,,,,,,,,,,,,,,0.832,0.831,0.830,0.829,0.828
"Belize","BLZ","Subnat","BLZr102","Belize",,,,,,,,,,,,,,,,,,,,,,,,0.793,0.793,0.793,0.793,0.793
"Belize","BLZ","Subnat","BLZr103","Cayo",,,,,,,,,,,,,,,,,,,,,,,,0.589,0.589,0.589,0.589,0.589
"Belize","BLZ","Subnat","BLZr101","Corozal, Orange Walk",,,,,,,,,,,,,,,,,,,,,,,,0.612,0.612,0.612,0.612,0.612
"Belize","BLZ","Subnat","BLZr104","Stann Creek, Toledo",,,,,,,,,,,,,,,,,,,,,,,,0.693,0.693,0.693,0.693,0.693
"Benin","BEN","Subnat","BENr101","Atacora (incl Donga)",,,,,,,,,,,,,,,,,,,,,,,,0.353,0.368,0.383,0.398,0.413
"Benin","BEN","Subnat","BENr102","Atlantique (incl Littoral (Cotonou))",,,,,,,,,,,,,,,,,,,,,,,,0.623,0.638,0.653,0.668,0.683
"Benin","BEN","Subnat","BENr103","Borgou (incl Alibori)",,,,,,,,,,,,,,,,,,,,,,,,0.293,0.290,0.287,0.284,0.281
"Benin","BEN","Subnat","BENr104","Mono (incl Couffo)",,,,,,,,,,,,,,,,,,,,,,,,0.489,0.498,0.507,0.516,0.525
"Benin","BEN","Subnat","BENr105","Queme (incl Plateau)",,,,,,,,,,,,,,,,,,,,,,,,0.487,0.500,0.513,0.526,0.539
"Benin","BEN","Subnat","BENr106","Zou (incl Collines)",,,,,,,,,,,,,,,,,,,,,,,,0.471,0.484,0.497,0.510,0.523
"Bhutan","BTN","Subnat","BTNr101","Bumthang",,,,,,,,,,,,,,,,,,,,,,,,0.450,0.450,0.450,0.450,0.450
"Bhutan","BTN","Subnat","BTNr102","Chukha",,,,,,,,,,,,,,,,,,,,,,,,0.507,0.507,0.507,0.507,0.507
"Bhutan","BTN","Subnat","BTNr103","Dagana",,,,,,,,,,,,,,,,,,,,,,,,0.391,0.391,0.391,0.391,0.391
"Bhutan","BTN","Subnat","BTNr104","Gasa",,,,,,,,,,,,,,,,,,,,,,,,0.324,0.324,0.324,0.324,0.324
"Bhutan","BTN","Subnat","BTNr105","Haa",,,,,,,,,,,,,,,,,,,,,,,,0.456,0.456,0.456,0.456,0.456
"Bhutan","BTN","Subnat","BTNr106","Lhuntse",,,,,,,,,,,,,,,,,,,,,,,,0.356,0.356,0.356,0.356,0.356
"Bhutan","BTN","Subnat","BTNr107","Mongar",,,,,,,,,,,,,,,,,,,,,,,,0.386,0.386,0.386,0.386,0.386
"Bhutan","BTN","Subnat","BTNr108","Paro",,,,,,,,,,,,,,,,,,,,,,,,0.474,0.474,0.474,0.474,0.474
"Bhutan","BTN","Subnat","BTNr109","Pemagatshel",,,,,,,,,,,,,,,,,,,,,,,,0.418,0.418,0.418,0.418,0.418
"Bhutan","BTN","Subnat","BTNr110","Punakha",,,,,,,,,,,,,,,,,,,,,,,,0.425,0.425,0.425,0.425,0.425
"Bhutan","BTN","Subnat","BTNr111","Samdrup jongkhar",,,,,,,,,,,,,,,,,,,,,,,,0.418,0.418,0.418,0.418,0.418
"Bhutan","BTN","Subnat","BTNr112","Samtse",,,,,,,,,,,,,,,,,,,,,,,,0.409,0.409,0.409,0.409,0.409
"Bhutan","BTN","Subnat","BTNr113","Sarpang",,,,,,,,,,,,,,,,,,,,,,,,0.465,0.465,0.465,0.465,0.465
"Bhutan","BTN","Subnat","BTNr114","Thimphu",,,,,,,,,,,,,,,,,,,,,,,,0.599,0.599,0.599,0.599,0.599
"Bhutan","BTN","Subnat","BTNr115","Trashigang",,,,,,,,,,,,,,,,,,,,,,,,0.363,0.363,0.363,0.363,0.363
"Bhutan","BTN","Subnat","BTNr116","Trashiyangtse",,,,,,,,,,,,,,,,,,,,,,,,0.346,0.346,0.346,0.346,0.346
"Bhutan","BTN","Subnat","BTNr117","Trongsa",,,,,,,,,,,,,,,,,,,,,,,,0.408,0.408,0.408,0.408,0.408
"Bhutan","BTN","Subnat","BTNr118","Tsirang",,,,,,,,,,,,,,,,,,,,,,,,0.417,0.417,0.417,0.417,0.417
"Bhutan","BTN","Subnat","BTNr119","Wangdi",,,,,,,,,,,,,,,,,,,,,,,,0.357,0.357,0.357,0.357,0.357
"Bhutan","BTN","Subnat","BTNr120","Zhemgang",,,,,,,,,,,,,,,,,,,,,,,,0.392,0.392,0.392,0.392,0.392
