Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",,,,,,,,,,,,,,,,,,,,,,,,2274,2247,2219,2192,2165
"Afghanistan","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",,,,,,,,,,,,,,,,,,,,,,,,1380,1364,1349,1333,1318
"Afghanistan","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",,,,,,,,,,,,,,,,,,,,,,,,1361,1345,1330,1315,1299
"Afghanistan","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",,,,,,,,,,,,,,,,,,,,,,,,2169,2143,2117,2091,2065
"Afghanistan","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",,,,,,,,,,,,,,,,,,,,,,,,1578,1560,1542,1524,1506
"Afghanistan","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",,,,,,,,,,,,,,,,,,,,,,,,1777,1757,1736,1715,1695
"Afghanistan","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",,,,,,,,,,,,,,,,,,,,,,,,1678,1659,1640,1620,1601
"Afghanistan","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",,,,,,,,,,,,,,,,,,,,,,,,1665,1645,1626,1607,1587
"Albania","ALB","Subnat","ALBr201"," Berat",,,,,,,,,,,,,,,,,,,,,,,,10053,10503,10953,11402,11852
"Albania","ALB","Subnat","ALBr202"," Diber",,,,,,,,,,,,,,,,,,,,,,,,10219,10677,11135,11593,12051
"Albania","ALB","Subnat","ALBr203"," Durres",,,,,,,,,,,,,,,,,,,,,,,,11793,12331,12869,13407,13945
