Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",,,,,,,,,,,,,,,,,,,,,,,,0.691,0.696,0.701,0.706,0.711
"Afghanistan","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",,,,,,,,,,,,,,,,,,,,,,,,0.667,0.673,0.679,0.685,0.691
"Afghanistan","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",,,,,,,,,,,,,,,,,,,,,,,,0.657,0.662,0.667,0.672,0.677
"Afghanistan","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",,,,,,,,,,,,,,,,,,,,,,,,0.648,0.653,0.658,0.663,0.668
"Afghanistan","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",,,,,,,,,,,,,,,,,,,,,,,,0.643,0.648,0.653,0.658,0.663
"Afghanistan","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",,,,,,,,,,,,,,,,,,,,,,,,0.658,0.664,0.670,0.676,0.682
"Afghanistan","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",,,,,,,,,,,,,,,,,,,,,,,,0.696,0.702,0.708,0.714,0.720
"Afghanistan","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",,,,,,,,,,,,,,,,,,,,,,,,0.652,0.658,0.664,0.670,0.676
"Albania","ALB","Subnat","ALBr201"," Berat",,,,,,,,,,,,,,,,,,,,,,,,0.873,0.875,0.877,0.879,0.881
"Albania","ALB","Subnat","ALBr202"," Diber",,,,,,,,,,,,,,,,,,,,,,,,0.898,0.900,0.902,0.904,0.906
"Albania","ALB","Subnat","ALBr203"," Durres",,,,,,,,,,,,,,,,,,,,,,,,0.892,0.894,0.896,0.898,0.900
"Albania","ALB","Subnat","ALBr204"," Elbasan",,,,,,,,,,,,,,,,,,,,,,,,0.892,0.894,0.896,0.898,0.900
"Albania","ALB","Subnat","ALBr205"," Fier",,,,,,,,,,,,,,,,,,,,,,,,0.897,0.899,0.901,0.903,0.905
"Albania","ALB","Subnat","ALBr206"," Gjirokaster",,,,,,,,,,,,,,,,,,,,,,,,0.864,0.866,0.868,0.870,0.872
"Albania","ALB","Subnat","ALBr207"," Korce",,,,,,,,,,,,,,,,,,,,,,,,0.863,0.865,0.867,0.869,0.871
"Albania","ALB","Subnat","ALBr208"," Kukes",,,,,,,,,,,,,,,,,,,,,,,,0.904,0.906,0.908,0.910,0.912
"Albania","ALB","Subnat","ALBr209"," Lezhe",,,,,,,,,,,,,,,,,,,,,,,,0.892,0.894,0.896,0.898,0.900
"Albania","ALB","Subnat","ALBr210"," Shkoder",,,,,,,,,,,,,,,,,,,,,,,,0.888,0.890,0.892,0.894,0.896
"Albania","ALB","Subnat","ALBr211"," Tirana",,,,,,,,,,,,,,,,,,,,,,,,0.897,0.899,0.901,0.903,0.905
"Albania","ALB","Subnat","ALBr212"," Vlore",,,,,,,,,,,,,,,,,,,,,,,,0.902,0.904,0.906,0.908,0.910
"Algeria","DZA","Subnat","DZAr104","Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",,,,,,,,,,,,,,,,,,,,,,,,0.834,0.837,0.840,0.843,0.846
"Algeria","DZA","Subnat","DZAr105","Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",,,,,,,,,,,,,,,,,,,,,,,,0.869,0.872,0.875,0.878,0.881
"Algeria","DZA","Subnat","DZAr106","Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",,,,,,,,,,,,,,,,,,,,,,,,0.850,0.854,0.858,0.862,0.866
"Algeria","DZA","Subnat","DZAr101","Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",,,,,,,,,,,,,,,,,,,,,,,,0.877,0.880,0.883,0.886,0.889
"Algeria","DZA","Subnat","DZAr102","Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",,,,,,,,,,,,,,,,,,,,,,,,0.880,0.882,0.884,0.886,0.888
"Algeria","DZA","Subnat","DZAr103","Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)",,,,,,,,,,,,,,,,,,,,,,,,0.848,0.851,0.854,0.857,0.860
"Algeria","DZA","Subnat","DZAr107","Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)",,,,,,,,,,,,,,,,,,,,,,,,0.830,0.833,0.836,0.839,0.842
"Angola","AGO","Subnat","AGOr218"," Bengo",,,,,,,,,,,,,,,,,,,,,,,,0.700,0.707,0.714,0.721,0.728
"Angola","AGO","Subnat","AGOr209"," Benguela",,,,,,,,,,,,,,,,,,,,,,,,0.511,0.516,0.521,0.526,0.531
"Angola","AGO","Subnat","AGOr211"," Bie",,,,,,,,,,,,,,,,,,,,,,,,0.603,0.609,0.615,0.621,0.627
"Angola","AGO","Subnat","AGOr201"," Cabinda",,,,,,,,,,,,,,,,,,,,,,,,0.671,0.678,0.685,0.692,0.699
"Angola","AGO","Subnat","AGOr216"," Cunene",,,,,,,,,,,,,,,,,,,,,,,,0.617,0.623,0.629,0.635,0.641
"Angola","AGO","Subnat","AGOr210"," Huambo",,,,,,,,,,,,,,,,,,,,,,,,0.577,0.583,0.589,0.595,0.601
"Angola","AGO","Subnat","AGOr215"," Huila",,,,,,,,,,,,,,,,,,,,,,,,0.544,0.550,0.556,0.562,0.568
"Angola","AGO","Subnat","AGOr213"," Kuando Kubango",,,,,,,,,,,,,,,,,,,,,,,,0.617,0.623,0.629,0.635,0.641
"Angola","AGO","Subnat","AGOr205"," Kuanza Norte",,,,,,,,,,,,,,,,,,,,,,,,0.589,0.595,0.601,0.607,0.613
"Angola","AGO","Subnat","AGOr206"," Kuanza Sul",,,,,,,,,,,,,,,,,,,,,,,,0.524,0.529,0.534,0.539,0.544
"Angola","AGO","Subnat","AGOr204"," Luanda",,,,,,,,,,,,,,,,,,,,,,,,0.661,0.668,0.675,0.682,0.689
"Angola","AGO","Subnat","AGOr208"," Lunda Norte",,,,,,,,,,,,,,,,,,,,,,,,0.638,0.644,0.650,0.656,0.662
"Angola","AGO","Subnat","AGOr217"," Lunda Sul",,,,,,,,,,,,,,,,,,,,,,,,0.666,0.673,0.680,0.687,0.694
"Angola","AGO","Subnat","AGOr207"," Malange",,,,,,,,,,,,,,,,,,,,,,,,0.647,0.653,0.659,0.665,0.671
"Angola","AGO","Subnat","AGOr212"," Moxico",,,,,,,,,,,,,,,,,,,,,,,,0.752,0.759,0.766,0.773,0.780
"Angola","AGO","Subnat","AGOr214"," Namibe",,,,,,,,,,,,,,,,,,,,,,,,0.583,0.589,0.595,0.601,0.607
"Angola","AGO","Subnat","AGOr203"," Uige",,,,,,,,,,,,,,,,,,,,,,,,0.616,0.622,0.628,0.634,0.640
"Angola","AGO","Subnat","AGOr202"," Zaire",,,,,,,,,,,,,,,,,,,,,,,,0.649,0.656,0.663,0.670,0.677
"Argentina","ARG","Subnat","ARGr103","Catamarca, La Rioja, San Juan",,,,,,,,,,,,,,,,,,,,,,,,0.858,0.861,0.864,0.867,0.870
"Argentina","ARG","Subnat","ARGr106","Chaco, Formosa",,,,,,,,,,,,,,,,,,,,,,,,0.858,0.861,0.864,0.867,0.870
"Argentina","ARG","Subnat","ARGr107","Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego",,,,,,,,,,,,,,,,,,,,,,,,0.858,0.861,0.864,0.867,0.870
"Argentina","ARG","Subnat","ARGr101","City of Buenos Aires",,,,,,,,,,,,,,,,,,,,,,,,0.858,0.861,0.864,0.867,0.870
"Argentina","ARG","Subnat","ARGr104","Cordoba",,,,,,,,,,,,,,,,,,,,,,,,0.858,0.861,0.864,0.867,0.870
"Argentina","ARG","Subnat","ARGr105","Corrientes, Entre Rios, Misiones",,,,,,,,,,,,,,,,,,,,,,,,0.858,0.861,0.864,0.867,0.870
"Argentina","ARG","Subnat","ARGr108","Jujuy, Salta",,,,,,,,,,,,,,,,,,,,,,,,0.858,0.861,0.864,0.867,0.870
"Argentina","ARG","Subnat","ARGr109","La Pampa, San Luis, Mendoza",,,,,,,,,,,,,,,,,,,,,,,,0.858,0.861,0.864,0.867,0.870
"Argentina","ARG","Subnat","ARGr102","Rest of Buenos Aires",,,,,,,,,,,,,,,,,,,,,,,,0.858,0.861,0.864,0.867,0.870
"Argentina","ARG","Subnat","ARGr110","Santa Fe",,,,,,,,,,,,,,,,,,,,,,,,0.858,0.861,0.864,0.867,0.870
