Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",,,,,,,,,,,,,,,,,,,,52.0,,,,,58.0,,,
"Afghanistan","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",,,,,,,,,,,,,,,,,,,,37.9,,,,,41.8,,,
"Afghanistan","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",,,,,,,,,,,,,,,,,,,,38.6,,,,,41.3,,,
"Afghanistan","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",,,,,,,,,,,,,,,,,,,,39.6,,,,,56.5,,,
"Afghanistan","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",,,,,,,,,,,,,,,,,,,,42.8,,,,,46.2,,,
"Afghanistan","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",,,,,,,,,,,,,,,,,,,,41.5,,,,,50.0,,,
"Afghanistan","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",,,,,,,,,,,,,,,,,,,,47.6,,,,,48.2,,,
"Afghanistan","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",,,,,,,,,,,,,,,,,,,,43.0,,,,,47.9,,,
"Albania","ALB","Subnat","ALBr201"," Berat",,,,,,,,,,,,,,,82.8,,,,86.0,,,,,,,,85.0,
"Albania","ALB","Subnat","ALBr202"," Diber",,,,,,,,,,,,,,,82.4,,,,80.1,,,,,,,,85.5,
"Albania","ALB","Subnat","ALBr203"," Durres",,,,,,,,,,,,,,,83.4,,,,86.7,,,,,,,,89.7,
"Albania","ALB","Subnat","ALBr204"," Elbasan",,,,,,,,,,,,,,,79.8,,,,82.6,,,,,,,,85.2,
"Albania","ALB","Subnat","ALBr205"," Fier",,,,,,,,,,,,,,,75.7,,,,82.4,,,,,,,,80.8,
"Albania","ALB","Subnat","ALBr206"," Gjirokaster",,,,,,,,,,,,,,,85.8,,,,83.3,,,,,,,,87.5,
"Albania","ALB","Subnat","ALBr207"," Korce",,,,,,,,,,,,,,,82.5,,,,83.2,,,,,,,,87.0,
"Albania","ALB","Subnat","ALBr208"," Kukes",,,,,,,,,,,,,,,84.2,,,,80.3,,,,,,,,87.0,
"Albania","ALB","Subnat","ALBr209"," Lezhe",,,,,,,,,,,,,,,77.2,,,,83.6,,,,,,,,84.1,
"Albania","ALB","Subnat","ALBr210"," Shkoder",,,,,,,,,,,,,,,83.0,,,,85.8,,,,,,,,88.9,
"Albania","ALB","Subnat","ALBr211"," Tirana",,,,,,,,,,,,,,,86.1,,,,88.7,,,,,,,,86.4,
"Albania","ALB","Subnat","ALBr212"," Vlore",,,,,,,,,,,,,,,83.4,,,,86.7,,,,,,,,86.7,
"Algeria","DZA","Subnat","DZAr104","Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",,,,,,,,,,,,69.0,,,,,,,,,,,84.1,,,,,
"Algeria","DZA","Subnat","DZAr105","Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",,,,,,,,,,,,69.4,,,,,,,,,,,87.8,,,,,
"Algeria","DZA","Subnat","DZAr106","Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",,,,,,,,,,,,68.2,,,,,,,,,,,85.9,,,,,
"Algeria","DZA","Subnat","DZAr101","Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",,,,,,,,,,,,74.4,,,,,,,,,,,87.2,,,,,
"Algeria","DZA","Subnat","DZAr102","Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",,,,,,,,,,,,69.1,,,,,,,,,,,87.0,,,,,
"Algeria","DZA","Subnat","DZAr103","Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)",,,,,,,,,,,,70.0,,,,,,,,,,,87.9,,,,,
"Algeria","DZA","Subnat","DZAr107","Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)",,,,,,,,,,,,71.1,,,,,,,,,,,88.1,,,,,
"Angola","AGO","Subnat","AGOr218"," Bengo",,,,,,,,,,,,,,,,,,,,,23.7,,,,,33.8,,
"Angola","AGO","Subnat","AGOr209"," Benguela",,,,,,,,,,,,,,,,,,,,,42.7,,,,,35.3,,
"Angola","AGO","Subnat","AGOr211"," Bie",,,,,,,,,,,,,,,,,,,,,7.13,,,,,20.8,,
"Angola","AGO","Subnat","AGOr201"," Cabinda",,,,,,,,,,,,,,,,,,,,,51.2,,,,,53.9,,
"Angola","AGO","Subnat","AGOr216"," Cunene",,,,,,,,,,,,,,,,,,,,,19.3,,,,,23.4,,
"Angola","AGO","Subnat","AGOr210"," Huambo",,,,,,,,,,,,,,,,,,,,,27.9,,,,,30.8,,
"Angola","AGO","Subnat","AGOr215"," Huila",,,,,,,,,,,,,,,,,,,,,34.1,,,,,28.1,,
"Angola","AGO","Subnat","AGOr213"," Kuando Kubango",,,,,,,,,,,,,,,,,,,,,4.88,,,,,26.2,,
"Angola","AGO","Subnat","AGOr205"," Kuanza Norte",,,,,,,,,,,,,,,,,,,,,17.5,,,,,30.4,,
"Angola","AGO","Subnat","AGOr206"," Kuanza Sul",,,,,,,,,,,,,,,,,,,,,11.7,,,,,22.7,,
"Angola","AGO","Subnat","AGOr204"," Luanda",,,,,,,,,,,,,,,,,,,,,65.6,,,,,67.2,,
"Angola","AGO","Subnat","AGOr208"," Lunda Norte",,,,,,,,,,,,,,,,,,,,,11.6,,,,,28.1,,
