Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","National","AFGt","Total",,,,,,,,,,,,,,,,,94.2,93.1,92.0,90.9,89.7,88.6,87.5,86.3,85.2,84.1,83.0,81.8
"Albania","ALB","National","ALBt","Total",,,,,,,,,,,,23.0,21.1,19.1,17.2,15.2,13.3,11.3,9.39,8.84,8.28,7.73,7.18,6.62,6.07,5.51,4.96,4.41
"Algeria","DZA","National","DZAt","Total",,,,,,,,,51.1,47.8,44.6,41.3,38.1,34.8,31.6,28.3,25.1,21.8,18.6,15.3,12.1,8.80,5.55,3.70,1.86,0.01,,
"Angola","AGO","National","AGOt","Total",,,,,,,98.7,97.7,96.7,95.7,94.7,93.7,92.7,91.6,90.6,89.6,88.6,87.6,86.6,85.6,84.6,83.5,82.5,81.4,80.4,79.3,78.3,77.2
"Argentina","ARG","National","ARGt","Total",,,,,,,,,,,,,,,,,,6.58,6.58,6.58,6.58,6.58,6.58,6.58,,,,
"Armenia","ARM","National","ARMt","Total",,,,,,,49.5,47.1,44.8,42.4,40.0,37.6,35.3,32.9,30.5,28.1,25.8,23.4,21.0,18.6,16.8,15.0,13.2,11.4,9.57,7.76,5.95,4.13
"Azerbaijan","AZE","National","AZEt","Total",,,,,,,,,,,,,54.2,54.2,54.2,54.2,54.2,54.2,54.2,,,,,,,,,
"Bangladesh","BGD","National","BGDt","Total",,,,,,,,,,,98.9,97.9,96.9,95.8,94.8,93.8,92.7,91.7,90.7,89.6,88.6,89.6,90.6,91.6,92.6,93.6,94.6,
"Barbados","BRB","National","BRBt","Total",,,,,,,,,,,,,,,,,,,3.27,3.27,3.27,3.27,3.27,3.27,3.27,,,
"Belarus","BLR","National","BLRt","Total",,,,,,,,,,,,23.1,22.4,21.8,21.1,20.4,19.8,19.1,18.4,17.8,17.1,16.4,15.7,15.1,14.4,,,
"Belize","BLZ","National","BLZt","Total",,,,,,,,,,,,,38.8,37.5,36.1,34.8,33.5,32.1,30.8,29.5,28.2,26.8,25.5,24.2,,,,
"Benin","BEN","National","BENt","Total",,,97.7,97.4,97.2,96.9,96.7,96.4,96.2,95.9,95.7,95.7,95.7,95.8,95.8,95.8,95.0,94.2,93.3,92.5,91.7,92.0,92.4,92.8,93.2,93.6,93.9,94.3
"Bhutan","BTN","National","BTNt","Total",,,,,,,,,,,,,,,,,65.5,65.5,65.5,65.5,65.5,65.5,65.5,,,,,
"Bolivia","BOL","National","BOLt","Total",,,,,63.6,65.5,67.4,69.3,71.2,73.1,75.0,76.8,78.7,76.1,73.4,70.7,68.1,65.4,62.7,60.1,57.4,,,,,,,
"Bosnia Herzegovina","BIH","National","BIHt","Total",,,,,,,,,,,,,14.5,13.1,11.7,10.3,8.89,7.47,6.06,4.64,3.23,2.16,1.08,0.01,,,,
"Botswana","BWA","National","BWAt","Total",,,,,,,89.4,87.7,86.0,84.4,82.7,80.9,79.1,77.3,75.5,73.7,71.9,70.1,68.3,66.5,64.7,64.7,64.6,64.5,64.4,64.3,,
"Brazil","BRA","National","BRAt","Total",,,40.0,40.1,40.3,40.4,40.5,40.6,40.8,40.9,37.8,34.7,31.6,28.6,25.5,22.4,19.3,16.2,13.2,10.1,7.01,3.93,0.85,,,,,
"Burkina Faso","BFA","National","BFAt","Total",,,,,99.9,99.5,99.1,98.7,98.2,97.7,97.3,96.8,96.3,96.2,96.0,95.8,95.7,95.5,95.4,95.2,95.0,94.9,94.7,,,,,
"Burundi","BDI","National","BDIt","Total",,,,,,,,,,,,99.5,99.3,99.2,99.0,98.9,98.7,98.5,98.4,98.2,98.2,98.1,98.1,98.0,98.0,98.0,97.9,97.9
"Cambodia","KHM","National","KHMt","Total",,,,,,,99.3,98.1,96.9,95.7,94.5,93.3,92.1,90.9,89.7,89.0,88.3,87.5,86.8,86.1,84.3,82.5,80.7,78.8,77.0,75.2,73.4,
"Cameroon","CMR","National","CMRt","Total",,,,,96.1,96.0,95.9,95.8,95.6,95.5,95.4,95.3,95.2,95.1,94.2,93.3,92.4,91.5,90.6,89.7,88.8,87.9,87.0,86.1,,,,
"Cape Verde","CPV","National","CPVt","Total",,,,,,,,,,,,,,,,,,,,34.6,34.6,34.6,34.6,34.6,34.6,34.6,,
"Central African Republic CAR","CAF","National","CAFt","Total",99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.0,99.0,99.0,98.9,98.9,,,,,
"Chad","TCD","National","TCDt","Total",,,,99.7,99.6,99.6,99.6,99.5,99.5,99.4,99.4,99.4,99.3,99.3,99.0,98.8,98.5,98.3,98.0,97.8,97.9,98.0,98.1,98.2,98.3,98.3,98.4,98.5
"Chili","CHL","National","CHLt","Total",,,,,,,,,15.1,14.5,13.9,13.4,12.8,12.2,11.6,11.0,10.4,9.86,9.27,8.69,,,,,,,,
"China","CHN","National","CHNt","Total",,,,,,,,,58.1,58.9,59.7,60.6,61.4,62.2,63.0,63.8,64.6,65.5,66.3,67.1,67.9,54.6,41.4,35.5,29.6,23.8,17.9,12.0
"Colombia","COL","National","COLt","Total",,73.8,70.2,66.6,63.0,59.4,55.7,52.1,48.5,44.9,45.0,45.2,45.3,45.5,45.6,42.3,39.0,35.7,32.4,29.1,26.7,24.3,21.9,19.5,17.1,14.7,12.3,9.95
"Comoros","COM","National","COMt","Total",,,98.0,97.4,96.7,96.1,95.5,94.9,94.3,93.7,93.0,92.4,91.8,91.2,90.6,90.0,89.4,88.7,88.1,87.5,86.9,86.3,85.7,85.1,84.4,,,
"Congo Brazzaville","COG","National","COGt","Total",,,,,,,,,,,,94.9,94.4,93.9,93.5,93.0,92.5,92.1,91.6,91.1,90.7,88.3,86.0,83.7,81.4,79.0,76.7,74.4
"Congo Democratic Republic","COD","National","CODt","Total",,,,,,,,,,,,,,99.3,98.9,98.5,98.1,97.7,97.3,96.9,96.7,96.5,96.2,96.0,95.8,95.6,,
"Costa Rica","CRI","National","CRIt","Total",,,,,,,,,,,,,,,,,,4.41,4.41,4.41,4.41,4.41,4.41,4.41,,,,
"Cote d'Ivoire","CIV","National","CIVt","Total",89.9,90.3,90.6,91.0,91.3,91.7,92.1,92.4,92.8,92.0,91.1,90.3,89.5,88.7,87.8,87.7,87.6,87.5,87.4,87.3,87.2,87.1,87.0,86.9,,,,
"Djibouti","DJI","National","DJIt","Total",,,,,,,,,,,,,65.8,65.8,65.8,65.8,65.8,65.8,65.8,,,,,,,,,
"Dominican Republic","DOM","National","DOMt","Total",,,73.4,70.7,68.0,65.3,62.5,59.8,57.1,54.4,51.7,48.9,47.3,45.7,44.0,42.4,40.7,38.5,36.2,33.9,31.7,29.4,27.2,24.9,22.7,20.4,,
"Ecuador","ECU","National","ECUt","Total",,,,,,,,,,,,,,44.7,42.9,41.1,39.4,37.6,35.9,34.1,32.3,30.6,28.8,27.0,,,,
"Egypt","EGY","National","EGYt","Total",,39.0,38.1,37.2,36.4,35.5,34.6,33.7,32.8,31.9,28.5,25.0,21.6,18.2,14.7,13.4,12.2,10.9,9.89,8.89,7.90,6.91,5.91,4.92,3.93,2.93,1.94,
"El Salvador","SLV","National","SLVt","Total",,,,,,,,,,,,,,51.4,50.7,50.0,49.4,48.7,48.1,47.4,46.8,46.1,45.8,45.5,45.1,44.8,44.5,
"Equatorial Guinea","GNQ","National","GNQt","Total",,,,,,,86.2,86.2,86.2,86.2,86.2,86.2,86.2,,,,,,,,,,,,,,,
"Eritrea","ERI","National","ERIt","Total",,97.0,96.7,96.4,96.2,95.9,95.7,95.4,95.2,94.9,94.6,94.4,94.1,93.9,93.6,,,,,,,,,,,,,
"Eswatini","SWZ","National","SWZt","Total",,,,,,,86.8,86.4,86.0,85.6,85.2,84.8,84.5,84.1,83.7,83.3,81.9,80.5,79.2,77.8,76.7,75.6,74.5,73.5,72.4,71.3,70.2,
"Ethiopia","ETH","National","ETHt","Total",,,,,,,99.9,99.8,99.8,99.7,99.5,99.3,99.1,99.0,98.8,98.6,98.4,98.2,98.0,97.8,97.6,97.2,96.8,96.4,96.0,95.6,95.2,94.8
"Fiji","FJI","National","FJIt","Total",,,,,,,,,,,,,,42.7,42.7,42.7,42.7,42.7,42.7,42.7,,,,,,,,
"Gabon","GAB","National","GABt","Total",,,,,,,85.6,83.7,81.8,79.9,77.9,76.0,74.1,72.2,70.3,68.4,66.5,64.6,62.7,60.7,58.8,56.9,55.0,53.1,51.2,,,
"Gambia","GMB","National","GMBt","Total",,,,,,,90.4,89.6,88.9,88.1,87.4,86.6,85.9,85.1,84.4,83.6,82.4,81.3,80.1,79.0,77.8,76.6,75.5,74.3,73.2,72.0,,
"Georgia","GEO","National","GEOt","Total",,,,,,,,,,,,50.5,50.5,50.5,50.5,50.5,50.5,50.5,,,,,,,,,,
"Ghana","GHA","National","GHAt","Total",,,,,96.9,96.4,96.0,95.6,95.2,94.7,94.3,93.9,93.4,92.4,91.4,90.4,89.0,87.6,86.8,86.1,85.3,84.0,82.7,81.4,80.1,78.8,77.5,
"Guatemala","GTM","National","GTMt","Total",,89.4,88.3,87.1,86.0,84.9,83.7,82.6,81.4,78.2,74.9,71.6,68.4,65.1,61.9,58.6,55.4,53.8,52.3,50.8,49.3,47.8,49.3,50.9,52.4,53.9,55.4,56.9
"Guinea","GIN","National","GINt","Total",,,,,,,,,,,,99.9,98.7,97.5,96.4,95.1,93.8,92.5,91.2,89.9,88.6,87.3,87.4,87.4,87.5,87.5,87.6,87.6
