Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","National","AFGt","Total",,,,,,,,,,,,,,,,,77.8,74.6,71.4,68.2,65.1,61.9,58.7,55.5,52.3,49.2,46.0,42.8
"Albania","ALB","National","ALBt","Total",,,,,,,,,,,,3.38,3.06,2.73,2.41,2.09,1.77,1.44,1.12,1.02,0.93,0.83,0.74,0.64,0.54,0.45,0.35,0.25
"Algeria","DZA","National","DZAt","Total",,,,,,,,,13.5,12.6,11.7,10.8,9.93,9.03,8.14,7.24,6.35,5.45,4.56,3.66,2.77,1.87,0.98,0.66,0.33,0.01,,
"Angola","AGO","National","AGOt","Total",,,,,,,92.9,91.2,89.4,87.7,86.0,84.2,82.5,80.8,79.0,77.3,75.5,73.8,72.1,70.3,68.6,66.9,65.1,63.3,61.6,59.8,58.1,56.3
"Argentina","ARG","National","ARGt","Total",,,,,,,,,,,,,,,,,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,,,
"Armenia","ARM","National","ARMt","Total",,,,,,,18.2,16.9,15.7,14.5,13.2,12.0,10.8,9.53,8.30,7.07,5.83,4.60,3.36,2.13,1.84,1.56,1.27,0.98,0.70,0.41,0.28,0.14
"Azerbaijan","AZE","National","AZEt","Total",,,,,,,,,,,,,20.8,20.8,20.8,20.8,20.8,20.8,20.8,,,,,,,,,
"Bangladesh","BGD","National","BGDt","Total",,,,,,,,,,,94.7,92.7,90.7,88.7,86.8,84.8,82.8,80.8,78.8,76.9,74.9,73.8,72.8,71.8,70.8,69.7,68.7,
"Barbados","BRB","National","BRBt","Total",,,,,,,,,,,,,,,,,,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,
"Belarus","BLR","National","BLRt","Total",,,,,,,,,,,,2.68,2.65,2.61,2.58,2.55,2.51,2.48,2.44,2.41,2.37,2.34,2.31,2.27,2.24,,,
"Belize","BLZ","National","BLZt","Total",,,,,,,,,,,,,15.2,14.8,14.4,13.9,13.5,13.1,12.7,12.3,11.8,11.4,11.0,10.6,,,,
"Benin","BEN","National","BENt","Total",,,90.3,89.8,89.4,89.0,88.6,88.2,87.8,87.4,87.0,86.2,85.5,84.8,84.1,83.4,81.3,79.2,77.2,75.1,73.0,73.6,74.3,74.9,75.5,76.1,76.7,77.3
"Bhutan","BTN","National","BTNt","Total",,,,,,,,,,,,,,,,,43.2,43.2,43.2,43.2,43.2,43.2,43.2,,,,,
"Bolivia","BOL","National","BOLt","Total",,,,,35.9,38.0,40.2,42.3,44.4,46.5,48.6,50.7,52.8,49.4,45.9,42.5,39.0,35.6,32.1,28.7,25.2,,,,,,,
"Bosnia Herzegovina","BIH","National","BIHt","Total",,,,,,,,,,,,,3.56,3.19,2.82,2.45,2.08,1.71,1.34,0.97,0.60,0.40,0.21,0.01,,,,
"Botswana","BWA","National","BWAt","Total",,,,,,,90.3,84.3,78.3,72.4,66.4,64.0,61.7,59.3,57.0,54.6,52.3,49.9,47.6,45.2,42.9,38.5,34.1,29.6,25.2,20.8,,
"Brazil","BRA","National","BRAt","Total",,,21.3,20.8,20.3,19.8,19.2,18.7,18.2,17.7,16.3,14.8,13.4,11.9,10.5,9.00,7.55,6.10,4.64,3.19,2.13,1.07,0.01,,,,,
"Burkina Faso","BFA","National","BFAt","Total",,,,,98.9,97.9,97.0,96.0,95.1,94.1,93.2,92.2,91.3,90.7,90.1,89.5,88.9,88.3,87.7,87.1,86.5,85.9,85.3,,,,,
"Burundi","BDI","National","BDIt","Total",,,,,,,,,,,,99.4,99.0,98.6,98.2,97.8,97.4,96.9,96.5,96.1,95.9,95.6,95.4,95.2,94.9,94.7,94.5,94.2
"Cambodia","KHM","National","KHMt","Total",,,,,,,95.8,93.7,91.6,89.5,87.3,85.2,83.1,81.0,78.9,76.6,74.3,72.0,69.6,67.3,62.6,57.9,53.3,48.6,43.9,39.2,34.5,
