Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","National","AFGt","Total",,,,,,,,,,,,,,,,,49.8,45.6,41.5,37.4,33.2,29.1,24.9,20.8,16.7,12.5,8.41,4.28
"Albania","ALB","National","ALBt","Total",,,,,,,,,,,,0.68,0.60,0.51,0.43,0.35,0.27,0.18,0.10,0.10,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06
"Algeria","DZA","National","DZAt","Total",,,,,,,,,4.80,4.48,4.17,3.85,3.53,3.22,2.90,2.59,2.27,1.96,1.64,1.33,1.01,0.70,0.38,0.26,0.13,0.01,,
"Angola","AGO","National","AGOt","Total",,,,,,,82.1,80.4,78.7,77.1,75.4,73.8,72.1,70.4,68.8,67.1,65.5,63.8,62.1,60.5,58.8,56.8,54.8,52.8,50.8,48.8,46.8,44.8
"Argentina","ARG","National","ARGt","Total",,,,,,,,,,,,,,,,,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,,,,
"Armenia","ARM","National","ARMt","Total",,,,,,,6.11,5.65,5.20,4.74,4.28,3.83,3.37,2.92,2.46,2.00,1.55,1.09,0.64,0.18,0.15,0.12,0.10,0.07,0.04,0.01,0.01,0.01
"Azerbaijan","AZE","National","AZEt","Total",,,,,,,,,,,,,5.69,5.69,5.69,5.69,5.69,5.69,5.69,,,,,,,,,
"Bangladesh","BGD","National","BGDt","Total",,,,,,,,,,,87.5,84.0,80.4,76.9,73.3,69.8,66.3,62.7,59.2,55.6,52.1,49.8,47.4,45.1,42.7,40.3,38.0,
"Barbados","BRB","National","BRBt","Total",,,,,,,,,,,,,,,,,,,0.37,0.37,0.37,0.37,0.37,0.37,0.37,,,
"Belarus","BLR","National","BLRt","Total",,,,,,,,,,,,0.30,0.33,0.35,0.38,0.41,0.43,0.46,0.49,0.52,0.54,0.57,0.60,0.62,0.65,,,
"Belize","BLZ","National","BLZt","Total",,,,,,,,,,,,,8.63,8.19,7.76,7.32,6.88,6.45,6.01,5.58,5.14,4.70,4.27,3.83,,,,
"Benin","BEN","National","BENt","Total",,,79.0,78.6,78.3,77.9,77.5,77.2,76.8,76.5,76.1,74.4,72.7,70.9,69.2,67.4,64.6,61.8,59.0,56.2,53.4,53.6,53.7,53.9,54.0,54.2,54.3,54.5
"Bhutan","BTN","National","BTNt","Total",,,,,,,,,,,,,,,,,19.6,19.6,19.6,19.6,19.6,19.6,19.6,,,,,
"Bolivia","BOL","National","BOLt","Total",,,,,28.2,29.0,29.8,30.5,31.3,32.1,32.8,33.6,34.4,32.2,30.0,27.7,25.5,23.3,21.1,18.9,16.6,,,,,,,
"Bosnia Herzegovina","BIH","National","BIHt","Total",,,,,,,,,,,,,0.70,0.63,0.55,0.48,0.41,0.33,0.26,0.18,0.11,0.08,0.04,0.01,,,,
"Botswana","BWA","National","BWAt","Total",,,,,,,72.3,65.5,58.8,52.0,45.2,43.2,41.1,39.0,36.9,34.9,32.8,30.7,28.6,26.5,24.5,20.8,17.1,13.4,9.69,6.00,,
"Brazil","BRA","National","BRAt","Total",,,10.2,10.3,10.4,10.5,10.6,10.7,10.8,11.0,9.99,9.03,8.08,7.12,6.16,5.20,4.24,3.29,2.33,1.37,0.92,0.46,0.01,,,,,
"Burkina Faso","BFA","National","BFAt","Total",,,,,95.9,94.7,93.6,92.4,91.2,90.1,88.9,87.7,86.6,84.4,82.3,80.2,78.0,75.9,73.8,71.7,69.5,67.4,65.3,,,,,
"Burundi","BDI","National","BDIt","Total",,,,,,,,,,,,99.9,99.0,98.1,97.2,96.3,95.4,94.5,93.6,92.7,91.9,91.1,90.3,89.5,88.7,87.9,87.2,86.4
"Cambodia","KHM","National","KHMt","Total",,,,,,,93.7,89.8,86.0,82.1,78.2,74.4,70.5,66.7,62.8,59.1,55.4,51.8,48.1,44.4,39.1,33.8,28.6,23.3,18.0,12.7,7.42,
"Cameroon","CMR","National","CMRt","Total",,,,,79.9,78.7,77.6,76.4,75.2,74.0,72.9,71.7,70.5,69.3,66.0,62.7,59.5,56.2,52.9,49.6,46.3,43.0,39.7,36.4,,,,
"Cape Verde","CPV","National","CPVt","Total",,,,,,,,,,,,,,,,,,,,2.01,2.01,2.01,2.01,2.01,2.01,2.01,,
"Central African Republic CAR","CAF","National","CAFt","Total",96.2,96.0,95.7,95.5,95.2,95.0,94.7,94.5,94.3,94.0,93.8,93.5,93.3,93.0,92.8,92.5,91.1,89.7,88.2,86.8,85.4,83.9,82.5,,,,,
"Chad","TCD","National","TCDt","Total",,,,98.3,98.1,97.9,97.7,97.5,97.3,97.1,96.9,96.6,96.4,96.2,95.4,94.5,93.7,92.8,91.9,91.1,90.6,90.2,89.7,89.2,88.8,88.3,87.9,87.4
"Chili","CHL","National","CHLt","Total",,,,,,,,,1.07,1.29,1.52,1.74,1.96,2.19,2.41,2.64,2.86,3.08,3.31,3.53,,,,,,,,
"China","CHN","National","CHNt","Total",,,,,,,,,8.76,8.59,8.43,8.26,8.09,7.93,7.76,7.59,7.43,7.26,7.09,6.93,6.76,4.58,2.39,1.83,1.26,0.84,0.43,0.01
"Colombia","COL","National","COLt","Total",,15.5,14.7,13.9,13.0,12.2,11.4,10.6,9.73,8.91,8.39,7.88,7.36,6.85,6.33,5.78,5.24,4.69,4.15,3.60,3.41,3.22,3.04,2.85,2.66,2.47,2.28,2.10
"Comoros","COM","National","COMt","Total",,,78.1,75.7,73.2,70.7,68.3,65.8,63.3,60.9,58.4,55.9,53.5,51.0,48.6,46.1,43.6,41.2,38.7,36.2,33.8,31.3,28.8,26.4,23.9,,,
"Congo Brazzaville","COG","National","COGt","Total",,,,,,,,,,,,69.7,67.5,65.3,63.1,60.9,58.7,56.5,54.4,52.2,50.0,46.2,42.5,38.7,34.9,31.2,27.4,23.7
"Congo Democratic Republic","COD","National","CODt","Total",,,,,,,,,,,,,,79.0,80.2,81.3,82.5,83.6,84.8,85.9,85.0,84.1,83.2,82.3,81.4,80.5,,
"Costa Rica","CRI","National","CRIt","Total",,,,,,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.22,0.22,0.22,,,,
"Cote d'Ivoire","CIV","National","CIVt","Total",55.8,57.1,58.4,59.6,60.9,62.2,63.5,64.8,66.1,64.0,61.9,59.8,57.7,55.6,53.5,51.6,49.7,47.8,45.9,44.0,42.1,40.2,38.3,36.4,,,,
"Djibouti","DJI","National","DJIt","Total",,,,,,,,,,,,,26.4,26.4,26.4,26.4,26.4,26.4,26.4,,,,,,,,,
"Dominican Republic","DOM","National","DOMt","Total",,,30.8,28.4,26.0,23.6,21.2,18.8,16.4,14.0,11.6,9.26,8.56,7.86,7.16,6.46,5.76,5.21,4.66,4.11,3.55,3.00,2.45,1.90,1.35,0.80,,
"Ecuador","ECU","National","ECUt","Total",,,,,,,,,,,,,,12.2,11.5,10.7,10.0,9.29,8.57,7.85,7.13,6.41,5.69,4.97,,,,
"Egypt","EGY","National","EGYt","Total",,11.9,11.1,10.3,9.48,8.66,7.84,7.03,6.21,5.39,4.57,3.76,2.94,2.13,1.31,1.12,0.92,0.73,0.63,0.52,0.42,0.31,0.21,0.10,0.07,0.04,0.01,
"El Salvador","SLV","National","SLVt","Total",,,,,,,,,,,,,,26.5,24.9,23.2,21.5,19.9,18.2,16.5,14.9,13.2,10.2,7.17,4.78,2.40,0.01,
"Equatorial Guinea","GNQ","National","GNQt","Total",,,,,,,63.8,63.8,63.8,63.8,63.8,63.8,63.8,,,,,,,,,,,,,,,
"Eritrea","ERI","National","ERIt","Total",,89.2,88.1,87.1,86.0,85.0,83.9,82.9,81.9,80.8,79.8,78.7,77.7,76.6,75.6,,,,,,,,,,,,,
"Eswatini","SWZ","National","SWZt","Total",,,,,,,54.9,54.4,53.8,53.2,52.6,52.0,51.5,50.9,50.3,49.7,46.2,42.7,39.2,35.7,32.5,29.3,26.0,22.8,19.6,16.4,13.1,
"Ethiopia","ETH","National","ETHt","Total",,,,,,,99.1,98.0,97.0,96.0,95.0,94.0,92.9,91.9,90.9,90.1,89.3,88.4,87.6,86.8,86.0,85.2,84.4,83.6,82.7,81.9,81.1,80.3
"Fiji","FJI","National","FJIt","Total",,,,,,,,,,,,,,11.7,11.7,11.7,11.7,11.7,11.7,11.7,,,,,,,,
"Gabon","GAB","National","GABt","Total",,,,,,,46.9,44.6,42.2,39.9,37.6,35.2,32.9,30.6,28.3,25.9,23.6,21.3,19.0,16.6,14.3,12.0,9.66,7.34,5.01,,,
"Gambia","GMB","National","GMBt","Total",,,,,,,60.9,58.9,56.9,54.9,52.9,50.8,48.8,46.8,44.8,42.8,41.5,40.1,38.8,37.4,36.1,34.7,33.4,32.0,30.7,29.3,,
"Georgia","GEO","National","GEOt","Total",,,,,,,,,,,,3.95,3.95,3.95,3.95,3.95,3.95,3.95,,,,,,,,,,
"Ghana","GHA","National","GHAt","Total",,,,,76.2,75.0,73.8,72.6,71.3,70.1,68.9,67.7,66.4,63.0,59.5,56.0,49.1,42.3,39.5,36.6,33.8,30.1,26.4,22.6,18.9,15.2,11.5,
"Guatemala","GTM","National","GTMt","Total",,62.5,60.3,58.0,55.8,53.5,51.2,49.0,46.7,44.0,41.2,38.5,35.7,33.0,30.2,27.5,24.7,23.6,22.4,21.3,20.1,19.0,17.2,15.5,13.7,11.9,10.2,8.40
"Guinea","GIN","National","GINt","Total",,,,,,,,,,,,95.1,91.5,87.9,84.3,80.7,77.1,73.4,69.8,66.2,62.6,59.0,57.6,56.2,54.8,53.4,52.0,50.6
"Guinea Bissau","GNB","National","GNBt","Total",,,,,,,,,,,,,79.9,79.0,78.0,77.1,76.1,75.1,74.2,73.2,72.3,71.3,70.4,69.4,68.5,67.5,66.5,
"Guyana","GUY","National","GUYt","Total",,,,,,,,,,,,,16.3,15.0,13.7,12.4,11.1,9.86,8.58,7.67,6.75,5.84,4.92,4.01,3.10,2.18,1.27,
