Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","National","AFGt","Total",0.467,0.477,0.487,0.496,0.505,0.514,0.522,0.530,0.537,0.544,0.551,0.559,0.566,0.573,0.581,0.589,0.597,0.606,0.614,0.623,0.631,0.639,0.647,0.654,0.661,0.667,0.673,0.679,0.684
"Albania","ALB","National","ALBt","Total",0.798,0.797,0.797,0.798,0.800,0.803,0.808,0.813,0.819,0.824,0.830,0.835,0.840,0.844,0.847,0.850,0.853,0.856,0.860,0.865,0.870,0.876,0.881,0.885,0.889,0.893,0.895,0.897,0.899
"Algeria","DZA","National","DZAt","Total",0.722,0.727,0.732,0.737,0.741,0.747,0.753,0.759,0.765,0.772,0.779,0.786,0.794,0.802,0.809,0.816,0.823,0.830,0.836,0.841,0.845,0.849,0.853,0.856,0.860,0.863,0.866,0.869,0.872
"Andorra","AND","National","ANDt","Total",,,,,,,,,,,0.906,0.911,0.916,0.920,0.923,0.926,0.928,0.930,0.932,0.934,0.936,0.938,0.939,0.941,0.943,0.945,0.947,0.949,0.951
"Angola","AGO","National","AGOt","Total",,,,,,,,,,0.401,0.408,0.416,0.426,0.438,0.450,0.464,0.479,0.495,0.511,0.528,0.544,0.559,0.573,0.585,0.597,0.606,0.614,0.621,0.627
"Antigua and Barbuda","ATG","National","ATGt","Total",,,,,,,,,,,,,,,,0.846,0.849,0.852,0.854,0.857,0.859,0.861,0.863,0.865,0.867,0.869,0.871,0.873,0.875
"Argentina","ARG","National","ARGt","Total",0.794,0.797,0.800,0.804,0.807,0.810,0.813,0.816,0.819,0.822,0.824,0.827,0.830,0.832,0.835,0.838,0.840,0.843,0.845,0.848,0.850,0.853,0.855,0.858,0.860,0.863,0.865,0.867,0.870
"Armenia","ARM","National","ARMt","Total",0.737,0.736,0.738,0.742,0.747,0.753,0.760,0.768,0.776,0.784,0.791,0.797,0.802,0.805,0.808,0.810,0.811,0.813,0.815,0.817,0.820,0.824,0.828,0.832,0.835,0.838,0.841,0.843,0.845
"Australia","AUS","National","AUSt","Total",0.876,0.880,0.885,0.889,0.893,0.896,0.900,0.904,0.908,0.912,0.917,0.921,0.926,0.930,0.934,0.938,0.941,0.944,0.947,0.950,0.953,0.956,0.958,0.961,0.964,0.966,0.969,0.971,0.974
"Austria","AUT","National","AUTt","Total",0.855,0.859,0.862,0.866,0.870,0.874,0.878,0.883,0.887,0.892,0.896,0.900,0.904,0.909,0.913,0.916,0.920,0.924,0.927,0.930,0.933,0.935,0.937,0.939,0.940,0.941,0.942,0.944,0.945
"Azerbaijan","AZE","National","AZEt","Total",,,,,,0.696,0.701,0.706,0.711,0.715,0.719,0.724,0.729,0.735,0.742,0.750,0.758,0.765,0.772,0.778,0.784,0.788,0.792,0.796,0.800,0.804,0.808,0.811,0.813
"Bahamas","BHS","National","BHSt","Total",,,,,,,,,,,0.799,0.799,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.801,0.802,0.804,0.806,0.810,0.813,0.817,0.820,0.824,0.827
"Bahrain","BHR","National","BHRt","Total",0.806,0.809,0.812,0.816,0.819,0.822,0.825,0.828,0.831,0.834,0.838,0.841,0.843,0.846,0.849,0.851,0.854,0.856,0.858,0.860,0.862,0.865,0.867,0.869,0.871,0.873,0.875,0.877,0.879
"Bangladesh","BGD","National","BGDt","Total",0.588,0.598,0.610,0.621,0.634,0.646,0.658,0.670,0.681,0.690,0.699,0.707,0.714,0.721,0.728,0.735,0.742,0.748,0.755,0.761,0.767,0.773,0.779,0.784,0.788,0.792,0.797,0.801,0.805
"Barbados","BRB","National","BRBt","Total",0.842,0.844,0.848,0.851,0.855,0.859,0.864,0.868,0.872,0.876,0.879,0.882,0.885,0.887,0.889,0.891,0.892,0.894,0.895,0.896,0.898,0.899,0.901,0.902,0.903,0.905,0.906,0.907,0.909
"Belarus","BLR","National","BLRt","Total",,,,,,0.743,0.737,0.733,0.730,0.728,0.729,0.730,0.732,0.736,0.739,0.744,0.749,0.756,0.763,0.772,0.782,0.791,0.801,0.810,0.818,0.825,0.831,0.836,0.840
"Belgium","BEL","National","BELt","Total",0.859,0.863,0.866,0.869,0.872,0.876,0.878,0.881,0.884,0.887,0.890,0.893,0.897,0.900,0.904,0.907,0.911,0.914,0.918,0.921,0.924,0.927,0.930,0.933,0.935,0.938,0.941,0.943,0.946
"Belize","BLZ","National","BLZt","Total",0.788,0.785,0.779,0.773,0.767,0.761,0.755,0.752,0.750,0.750,0.752,0.754,0.758,0.762,0.765,0.769,0.774,0.779,0.786,0.793,0.801,0.809,0.816,0.822,0.827,0.831,0.834,0.836,0.838
"Benin","BEN","National","BENt","Total",0.520,0.529,0.535,0.539,0.541,0.542,0.541,0.540,0.541,0.542,0.544,0.549,0.554,0.561,0.568,0.575,0.582,0.589,0.595,0.600,0.605,0.609,0.613,0.617,0.621,0.625,0.629,0.633,0.638
"Bhutan","BTN","National","BTNt","Total",,,,,,,,,,,,,,,,0.697,0.708,0.719,0.728,0.737,0.744,0.751,0.758,0.764,0.770,0.776,0.781,0.787,0.792
"Bolivia","BOL","National","BOLt","Total",0.555,0.565,0.575,0.584,0.594,0.604,0.614,0.624,0.634,0.644,0.653,0.662,0.671,0.680,0.689,0.697,0.705,0.714,0.722,0.730,0.739,0.746,0.754,0.761,0.768,0.774,0.779,0.784,0.788
"Bosnia Herzegovina","BIH","National","BIHt","Total",,,,,,,,,,,0.837,0.841,0.843,0.845,0.847,0.849,0.851,0.854,0.856,0.859,0.862,0.865,0.868,0.870,0.873,0.875,0.877,0.879,0.881
"Botswana","BWA","National","BWAt","Total",0.603,0.588,0.573,0.557,0.543,0.529,0.516,0.504,0.492,0.480,0.471,0.466,0.465,0.470,0.479,0.494,0.514,0.538,0.564,0.592,0.619,0.645,0.669,0.692,0.712,0.728,0.741,0.751,0.758
