Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","National","AFGt","Total",,,,,,,,,,,,,,,,,39.0,40.5,42.0,43.5,45.0,46.5,48.0,49.5,51.0,52.5,54.0,55.5
"Albania","ALB","National","ALBt","Total",,,,,,,,,,,,80.0,80.7,81.5,82.2,82.9,83.6,84.4,85.1,85.2,85.4,85.5,85.6,85.7,85.9,86.0,86.1,86.2
"Algeria","DZA","National","DZAt","Total",,,,,,,,,66.7,68.2,69.6,71.1,72.6,74.0,75.5,77.0,78.4,79.9,81.3,82.8,84.3,85.7,87.2,88.7,90.1,91.6,,
"Angola","AGO","National","AGOt","Total",,,,,,,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,35.0,36.5,38.0,39.4,40.9,42.4,43.8
"Argentina","ARG","National","ARGt","Total",,,,,,,,,,,,,,,,,,88.6,88.6,88.6,88.6,88.6,88.6,88.6,,,,
"Armenia","ARM","National","ARMt","Total",,,,,,,68.2,69.2,70.3,71.4,72.4,73.5,74.5,75.6,76.6,77.7,78.7,79.8,80.9,81.9,82.6,83.3,84.1,84.8,85.5,86.2,86.9,87.7
"Azerbaijan","AZE","National","AZEt","Total",,,,,,,,,,,,,66.0,66.0,66.0,66.0,66.0,66.0,66.0,,,,,,,,,
"Bangladesh","BGD","National","BGDt","Total",,,,,,,,,,,19.3,21.2,23.0,24.9,26.7,28.6,30.4,32.3,34.1,35.9,37.8,38.5,39.1,39.8,40.5,41.2,41.9,
"Barbados","BRB","National","BRBt","Total",,,,,,,,,,,,,,,,,,,91.4,91.4,91.4,91.4,91.4,91.4,91.4,,,
"Belarus","BLR","National","BLRt","Total",,,,,,,,,,,,78.2,78.6,79.1,79.5,80.0,80.4,80.9,81.3,81.8,82.2,82.7,83.1,83.6,84.0,,,
"Belize","BLZ","National","BLZt","Total",,,,,,,,,,,,,71.6,72.2,72.7,73.2,73.8,74.3,74.8,75.4,75.9,76.4,77.0,77.5,,,,
"Benin","BEN","National","BENt","Total",,,25.6,25.4,25.2,25.0,24.8,24.7,24.5,24.3,24.1,25.2,26.3,27.5,28.6,29.7,31.1,32.5,33.9,35.3,36.7,36.7,36.6,36.6,36.5,36.5,36.4,36.4
"Bhutan","BTN","National","BTNt","Total",,,,,,,,,,,,,,,,,57.2,57.2,57.2,57.2,57.2,57.2,57.2,,,,,
"Bolivia","BOL","National","BOLt","Total",,,,,55.7,54.6,53.4,52.3,51.1,50.0,48.9,47.7,46.6,48.6,50.6,52.7,54.7,56.7,58.7,60.8,62.8,,,,,,,
"Bosnia Herzegovina","BIH","National","BIHt","Total",,,,,,,,,,,,,82.9,83.9,85.0,86.0,87.1,88.1,89.2,90.2,91.3,92.3,93.3,94.4,,,,
"Botswana","BWA","National","BWAt","Total",,,,,,,28.3,31.9,35.6,39.2,42.9,44.2,45.6,47.0,48.3,49.7,51.1,52.5,53.8,55.2,56.6,57.8,59.1,60.3,61.5,62.8,,
"Brazil","BRA","National","BRAt","Total",,,70.0,70.2,70.3,70.4,70.5,70.7,70.8,70.9,72.5,74.0,75.5,77.1,78.6,80.1,81.7,83.2,84.7,86.3,87.8,89.3,90.8,,,,,
"Burkina Faso","BFA","National","BFAt","Total",,,,,17.9,18.0,18.1,18.3,18.4,18.5,18.6,18.8,18.9,20.4,21.8,23.3,24.8,26.2,27.7,29.2,30.6,32.1,33.6,,,,,
"Burundi","BDI","National","BDIt","Total",,,,,,,,,,,,6.68,8.04,9.41,10.8,12.1,13.5,14.9,16.2,17.6,18.2,18.8,19.3,19.9,20.5,21.1,21.7,22.2
"Cambodia","KHM","National","KHMt","Total",,,,,,,19.4,21.2,22.9,24.7,26.4,28.2,29.9,31.6,33.4,35.1,36.8,38.6,40.3,42.0,44.6,47.2,49.7,52.3,54.9,57.5,60.1,
"Cameroon","CMR","National","CMRt","Total",,,,,21.4,22.0,22.5,23.1,23.6,24.2,24.8,25.3,25.9,26.4,28.3,30.1,31.9,33.7,35.5,37.3,39.1,40.9,42.7,44.6,,,,
"Cape Verde","CPV","National","CPVt","Total",,,,,,,,,,,,,,,,,,,,76.4,76.4,76.4,76.4,76.4,76.4,76.4,,
"Central African Republic CAR","CAF","National","CAFt","Total",10.8,11.2,11.6,12.0,12.4,12.8,13.2,13.6,14.0,14.4,14.8,15.2,15.6,16.0,16.4,16.8,17.0,17.2,17.4,17.6,17.7,17.9,18.1,,,,,
"Chad","TCD","National","TCDt","Total",,,,6.06,6.48,6.90,7.32,7.74,8.16,8.58,9.01,9.43,9.85,10.3,11.0,11.6,12.3,13.0,13.7,14.4,15.3,16.2,17.1,17.9,18.8,19.7,20.6,21.5
"Chili","CHL","National","CHLt","Total",,,,,,,,,84.4,84.7,84.9,85.2,85.5,85.7,86.0,86.3,86.5,86.8,87.1,87.3,,,,,,,,
"China","CHN","National","CHNt","Total",,,,,,,,,62.3,62.3,62.2,62.1,62.0,62.0,61.9,61.8,61.7,61.7,61.6,61.5,61.4,66.4,71.3,73.1,75.0,76.8,78.6,80.5
"Colombia","COL","National","COLt","Total",,56.2,57.6,59.0,60.4,61.8,63.2,64.6,66.0,67.4,67.5,67.6,67.7,67.8,67.9,69.6,71.3,73.0,74.6,76.3,77.6,78.9,80.2,81.5,82.7,84.0,85.3,86.6
"Comoros","COM","National","COMt","Total",,,22.8,24.1,25.3,26.6,27.8,29.1,30.3,31.6,32.8,34.0,35.3,36.5,37.8,39.0,40.3,41.5,42.8,44.0,45.3,46.5,47.7,49.0,50.2,,,
"Congo Brazzaville","COG","National","COGt","Total",,,,,,,,,,,,29.5,30.4,31.4,32.3,33.3,34.2,35.1,36.1,37.0,38.0,40.2,42.5,44.7,47.0,49.3,51.5,53.8
"Congo Democratic Republic","COD","National","CODt","Total",,,,,,,,,,,,,,24.0,22.7,21.4,20.1,18.8,17.6,16.3,17.8,19.3,20.8,22.4,23.9,25.4,,
"Costa Rica","CRI","National","CRIt","Total",,,,,,,,,,,,,,,,,,88.6,88.6,88.6,88.6,88.6,88.6,88.6,,,,
"Cote d'Ivoire","CIV","National","CIVt","Total",37.0,36.3,35.6,34.9,34.3,33.6,32.9,32.2,31.5,32.3,33.1,33.9,34.7,35.5,36.3,37.4,38.5,39.6,40.8,41.9,43.0,44.1,45.2,46.3,,,,
"Djibouti","DJI","National","DJIt","Total",,,,,,,,,,,,,54.7,54.7,54.7,54.7,54.7,54.7,54.7,,,,,,,,,
"Dominican Republic","DOM","National","DOMt","Total",,,50.6,52.3,54.0,55.7,57.4,59.1,60.8,62.6,64.3,66.0,66.9,67.9,68.8,69.7,70.7,71.7,72.7,73.7,74.7,75.7,76.8,77.8,78.8,79.8,,
"Ecuador","ECU","National","ECUt","Total",,,,,,,,,,,,,,68.8,69.7,70.5,71.4,72.2,73.1,73.9,74.8,75.6,76.5,77.3,,,,
"Egypt","EGY","National","EGYt","Total",,70.7,70.9,71.1,71.3,71.5,71.7,71.9,72.1,72.3,74.0,75.7,77.3,79.0,80.7,81.4,82.0,82.7,83.0,83.4,83.8,84.1,84.5,84.8,85.2,85.5,85.9,
"El Salvador","SLV","National","SLVt","Total",,,,,,,,,,,,,,61.4,62.2,63.0,63.8,64.6,65.4,66.2,67.0,67.8,68.5,69.3,70.0,70.7,71.5,
"Equatorial Guinea","GNQ","National","GNQt","Total",,,,,,,29.9,29.9,29.9,29.9,29.9,29.9,29.9,,,,,,,,,,,,,,,
"Eritrea","ERI","National","ERIt","Total",,9.37,10.3,11.3,12.3,13.3,14.3,15.2,16.2,17.2,18.2,19.1,20.1,21.1,22.1,,,,,,,,,,,,,
"Eswatini","SWZ","National","SWZt","Total",,,,,,,38.3,38.7,39.1,39.5,39.9,40.3,40.7,41.1,41.5,41.9,43.8,45.8,47.7,49.7,51.1,52.6,54.0,55.5,56.9,58.4,59.9,
