Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","National","AFGt","Total",0.298,0.303,0.312,0.308,0.303,0.328,0.331,0.336,0.340,0.343,0.345,0.347,0.379,0.387,0.400,0.410,0.419,0.431,0.436,0.448,0.464,0.465,0.479,0.485,0.488,0.490,0.491,0.494,0.496
"Albania","ALB","National","ALBt","Total",0.644,0.625,0.608,0.611,0.617,0.629,0.639,0.638,0.649,0.660,0.667,0.673,0.680,0.687,0.692,0.702,0.709,0.718,0.724,0.729,0.740,0.760,0.771,0.781,0.786,0.788,0.787,0.788,0.791
"Algeria","DZA","National","DZAt","Total",0.579,0.582,0.589,0.593,0.597,0.602,0.610,0.619,0.629,0.637,0.646,0.655,0.666,0.676,0.685,0.694,0.699,0.708,0.711,0.720,0.730,0.738,0.737,0.746,0.749,0.751,0.755,0.758,0.759
"Andorra","AND","National","ANDt","Total",,,,,,,,,,,0.759,0.767,0.780,0.820,0.826,0.819,0.829,0.829,0.831,0.830,0.828,0.827,0.849,0.846,0.853,0.850,0.854,0.852,0.857
"Angola","AGO","National","AGOt","Total",,,,,,,,,,0.384,0.393,0.404,0.419,0.428,0.440,0.453,0.466,0.482,0.494,0.508,0.510,0.525,0.537,0.547,0.557,0.565,0.570,0.576,0.574
"Antigua and Barbuda","ATG","National","ATGt","Total",,,,,,,,,,,,,,,,0.773,0.779,0.784,0.783,0.776,0.772,0.764,0.767,0.767,0.767,0.770,0.772,0.774,0.776
"Argentina","ARG","National","ARGt","Total",0.707,0.714,0.719,0.725,0.729,0.731,0.738,0.746,0.752,0.763,0.770,0.775,0.769,0.775,0.775,0.777,0.800,0.806,0.810,0.810,0.818,0.824,0.823,0.824,0.825,0.828,0.828,0.832,0.830
"Armenia","ARM","National","ARMt","Total",0.633,0.629,0.585,0.590,0.600,0.605,0.614,0.625,0.637,0.644,0.649,0.653,0.663,0.672,0.681,0.694,0.708,0.724,0.727,0.724,0.729,0.732,0.737,0.744,0.747,0.749,0.751,0.758,0.760
"Australia","AUS","National","AUSt","Total",0.866,0.867,0.869,0.872,0.875,0.883,0.886,0.889,0.892,0.895,0.898,0.900,0.903,0.904,0.907,0.902,0.905,0.908,0.921,0.923,0.925,0.928,0.932,0.926,0.929,0.933,0.935,0.937,0.939
"Austria","AUT","National","AUTt","Total",0.795,0.799,0.805,0.808,0.813,0.817,0.820,0.824,0.828,0.834,0.838,0.848,0.838,0.843,0.849,0.854,0.861,0.881,0.884,0.887,0.895,0.897,0.898,0.896,0.904,0.906,0.909,0.912,0.914
"Azerbaijan","AZE","National","AZEt","Total",,,,,,0.612,0.612,0.618,0.627,0.634,0.641,0.650,0.657,0.666,0.674,0.681,0.707,0.712,0.721,0.734,0.733,0.732,0.736,0.741,0.746,0.749,0.749,0.752,0.754
"Bahamas","BHS","National","BHSt","Total",,,,,,,,,,,0.787,0.788,0.790,0.789,0.790,0.791,0.794,0.794,0.794,0.793,0.795,0.795,0.797,0.797,0.797,0.799,0.800,0.804,0.805
"Bahrain","BHR","National","BHRt","Total",0.736,0.754,0.755,0.764,0.768,0.775,0.779,0.781,0.784,0.786,0.792,0.792,0.792,0.793,0.792,0.792,0.793,0.796,0.796,0.794,0.796,0.799,0.800,0.807,0.810,0.834,0.839,0.839,0.838
"Bangladesh","BGD","National","BGDt","Total",0.387,0.395,0.403,0.411,0.419,0.427,0.436,0.445,0.453,0.462,0.470,0.479,0.485,0.491,0.499,0.506,0.514,0.521,0.524,0.535,0.549,0.559,0.568,0.572,0.572,0.587,0.598,0.609,0.613
"Barbados","BRB","National","BRBt","Total",0.732,0.733,0.733,0.737,0.743,0.747,0.752,0.757,0.756,0.764,0.771,0.770,0.774,0.778,0.782,0.786,0.791,0.796,0.799,0.801,0.799,0.802,0.811,0.812,0.812,0.813,0.814,0.813,0.813
"Belarus","BLR","National","BLRt","Total",,,,,,0.656,0.661,0.667,0.671,0.676,0.683,0.689,0.696,0.704,0.714,0.724,0.741,0.757,0.774,0.783,0.792,0.798,0.803,0.808,0.811,0.810,0.812,0.815,0.817
"Belgium","BEL","National","BELt","Total",0.806,0.809,0.825,0.838,0.845,0.852,0.857,0.862,0.866,0.868,0.873,0.876,0.879,0.882,0.885,0.889,0.896,0.899,0.899,0.899,0.903,0.903,0.905,0.908,0.909,0.913,0.915,0.917,0.919
"Belize","BLZ","National","BLZt","Total",0.613,0.618,0.624,0.627,0.627,0.627,0.627,0.630,0.631,0.636,0.644,0.647,0.655,0.663,0.668,0.665,0.676,0.678,0.684,0.688,0.693,0.698,0.706,0.707,0.710,0.715,0.722,0.719,0.720
"Benin","BEN","National","BENt","Total",0.348,0.354,0.358,0.365,0.368,0.373,0.376,0.381,0.386,0.391,0.398,0.410,0.419,0.427,0.434,0.440,0.447,0.455,0.462,0.468,0.473,0.479,0.489,0.500,0.505,0.510,0.512,0.515,0.520
"Bhutan","BTN","National","BTNt","Total",,,,,,,,,,,,,,,,0.512,0.524,0.539,0.547,0.559,0.571,0.581,0.591,0.594,0.601,0.606,0.610,0.616,0.618
"Bolivia","BOL","National","BOLt","Total",0.540,0.549,0.555,0.562,0.570,0.578,0.585,0.587,0.599,0.608,0.616,0.619,0.625,0.629,0.630,0.632,0.638,0.638,0.647,0.651,0.656,0.660,0.663,0.673,0.679,0.685,0.692,0.700,0.703
"Bosnia Herzegovina","BIH","National","BIHt","Total",,,,,,,,,,,0.669,0.675,0.681,0.686,0.692,0.699,0.706,0.713,0.720,0.720,0.714,0.722,0.741,0.748,0.755,0.755,0.765,0.767,0.769
"Botswana","BWA","National","BWAt","Total",0.570,0.576,0.575,0.573,0.567,0.573,0.572,0.575,0.577,0.578,0.578,0.580,0.576,0.583,0.589,0.598,0.612,0.625,0.638,0.647,0.660,0.676,0.687,0.699,0.709,0.714,0.719,0.725,0.728
"Brazil","BRA","National","BRAt","Total",0.613,0.620,0.626,0.634,0.642,0.650,0.657,0.664,0.669,0.675,0.684,0.691,0.698,0.694,0.697,0.699,0.701,0.705,0.716,0.718,0.726,0.730,0.734,0.752,0.755,0.755,0.757,0.760,0.761
"Brunei Darussalam","BRN","National","BRNt","Total",0.769,0.773,0.778,0.784,0.788,0.791,0.794,0.797,0.798,0.803,0.805,0.806,0.810,0.815,0.820,0.824,0.827,0.827,0.828,0.831,0.832,0.836,0.843,0.844,0.845,0.843,0.844,0.843,0.845
"Bulgaria","BGR","National","BGRt","Total",0.694,0.691,0.691,0.690,0.691,0.697,0.703,0.704,0.710,0.709,0.712,0.722,0.729,0.738,0.745,0.750,0.756,0.764,0.772,0.774,0.779,0.782,0.786,0.792,0.797,0.808,0.812,0.813,0.816
"Burkina Faso","BFA","National","BFAt","Total",,,,,,,,,,,0.286,0.290,0.296,0.303,0.312,0.324,0.333,0.344,0.357,0.366,0.375,0.385,0.393,0.401,0.404,0.413,0.420,0.430,0.434
"Burundi","BDI","National","BDIt","Total",0.295,0.298,0.294,0.294,0.291,0.287,0.283,0.283,0.287,0.289,0.293,0.293,0.304,0.312,0.322,0.329,0.351,0.363,0.375,0.391,0.402,0.410,0.416,0.422,0.429,0.427,0.428,0.421,0.423
"Cambodia","KHM","National","KHMt","Total",0.384,0.388,0.393,0.397,0.374,0.387,0.391,0.397,0.402,0.406,0.419,0.434,0.453,0.466,0.478,0.490,0.502,0.516,0.521,0.524,0.535,0.541,0.548,0.555,0.561,0.566,0.572,0.577,0.581
"Cameroon","CMR","National","CMRt","Total",0.445,0.442,0.438,0.432,0.429,0.428,0.428,0.428,0.434,0.434,0.439,0.455,0.457,0.463,0.468,0.469,0.470,0.481,0.489,0.497,0.470,0.513,0.525,0.531,0.540,0.548,0.556,0.560,0.563
"Canada","CAN","National","CANt","Total",0.850,0.853,0.856,0.855,0.858,0.861,0.863,0.863,0.861,0.864,0.868,0.872,0.877,0.881,0.887,0.892,0.895,0.891,0.893,0.893,0.895,0.899,0.906,0.910,0.914,0.917,0.920,0.922,0.922
"Cape Verde","CPV","National","CPVt","Total",,,,,,,,,,,0.563,0.566,0.576,0.580,0.586,0.592,0.606,0.615,0.622,0.623,0.627,0.632,0.634,0.641,0.640,0.643,0.645,0.647,0.651
"Central African Republic CAR","CAF","National","CAFt","Total",0.320,0.314,0.299,0.299,0.301,0.303,0.301,0.304,0.306,0.308,0.307,0.311,0.314,0.314,0.319,0.323,0.328,0.334,0.338,0.346,0.355,0.363,0.370,0.351,0.355,0.362,0.372,0.376,0.381
"Chad","TCD","National","TCDt","Total",,,,,,,,,,,0.298,0.306,0.311,0.310,0.326,0.331,0.337,0.344,0.350,0.365,0.374,0.384,0.393,0.399,0.406,0.403,0.398,0.401,0.401
"Chili","CHL","National","CHLt","Total",0.703,0.712,0.719,0.713,0.718,0.726,0.732,0.739,0.741,0.747,0.753,0.764,0.767,0.773,0.782,0.788,0.787,0.800,0.810,0.819,0.800,0.812,0.818,0.829,0.834,0.839,0.843,0.845,0.847
"China","CHN","National","CHNt","Total",0.502,0.509,0.520,0.531,0.537,0.549,0.558,0.566,0.574,0.583,0.591,0.599,0.610,0.622,0.632,0.644,0.657,0.671,0.681,0.690,0.702,0.711,0.719,0.727,0.735,0.742,0.749,0.753,0.757
"Colombia","COL","National","COLt","Total",0.599,0.603,0.614,0.621,0.628,0.633,0.643,0.651,0.658,0.658,0.662,0.664,0.667,0.666,0.680,0.692,0.700,0.713,0.720,0.724,0.729,0.735,0.736,0.745,0.750,0.753,0.759,0.760,0.761
"Comoros","COM","National","COMt","Total",,,,,,,,,,,0.457,0.462,0.467,0.473,0.474,0.480,0.486,0.492,0.499,0.506,0.513,0.524,0.529,0.532,0.534,0.535,0.537,0.539,0.538
"Congo Brazzaville","COG","National","COGt","Total",0.531,0.530,0.530,0.524,0.520,0.504,0.503,0.506,0.511,0.500,0.495,0.501,0.504,0.505,0.507,0.506,0.507,0.523,0.538,0.550,0.557,0.559,0.571,0.581,0.595,0.614,0.613,0.609,0.608
"Congo Democratic Republic","COD","National","CODt","Total",0.377,0.371,0.369,0.364,0.334,0.332,0.336,0.333,0.334,0.331,0.333,0.333,0.340,0.348,0.356,0.363,0.372,0.382,0.393,0.400,0.416,0.419,0.423,0.429,0.441,0.444,0.453,0.457,0.459
"Costa Rica","CRI","National","CRIt","Total",0.655,0.661,0.670,0.676,0.682,0.686,0.690,0.696,0.702,0.706,0.711,0.714,0.717,0.720,0.724,0.727,0.734,0.742,0.750,0.752,0.754,0.768,0.774,0.777,0.785,0.786,0.789,0.792,0.794
"Cote d'Ivoire","CIV","National","CIVt","Total",0.391,0.393,0.393,0.393,0.394,0.397,0.401,0.404,0.403,0.408,0.407,0.408,0.410,0.411,0.417,0.424,0.429,0.435,0.441,0.448,0.454,0.458,0.467,0.475,0.477,0.494,0.508,0.512,0.516
"Croatia","HRV","National","HRVt","Total",0.670,0.665,0.664,0.667,0.681,0.696,0.708,0.720,0.731,0.740,0.749,0.761,0.767,0.773,0.779,0.785,0.794,0.801,0.805,0.804,0.811,0.818,0.820,0.825,0.827,0.830,0.832,0.835,0.838
"Cuba","CUB","National","CUBt","Total",0.676,0.670,0.663,0.656,0.652,0.654,0.665,0.669,0.672,0.679,0.686,0.692,0.694,0.704,0.718,0.730,0.752,0.768,0.778,0.780,0.777,0.775,0.764,0.762,0.764,0.768,0.771,0.777,0.778
"Cyprus","CYP","National","CYPt","Total",0.730,0.733,0.738,0.775,0.779,0.782,0.786,0.789,0.797,0.797,0.799,0.804,0.814,0.822,0.826,0.830,0.837,0.844,0.852,0.854,0.850,0.853,0.852,0.854,0.857,0.864,0.869,0.871,0.873
"Czech Republic","CZE","National","CZEt","Total",0.730,0.726,0.728,0.735,0.744,0.753,0.768,0.774,0.775,0.784,0.796,0.806,0.813,0.822,0.825,0.835,0.843,0.849,0.854,0.857,0.861,0.865,0.865,0.874,0.879,0.882,0.885,0.888,0.891
"Denmark","DNK","National","DNKt","Total",0.799,0.804,0.808,0.815,0.824,0.831,0.837,0.843,0.849,0.861,0.863,0.876,0.883,0.894,0.898,0.903,0.904,0.904,0.909,0.906,0.910,0.922,0.924,0.926,0.928,0.926,0.928,0.929,0.930
"Djibouti","DJI","National","DJIt","Total",,,,,,0.353,0.351,0.355,0.356,0.360,0.361,0.370,0.376,0.386,0.394,0.402,0.414,0.424,0.432,0.437,0.446,0.451,0.459,0.467,0.475,0.482,0.489,0.493,0.495
"Dominica","DMA","National","DMAt","Total",,,,,,,,,,,0.694,0.698,0.697,0.702,0.704,0.706,0.711,0.715,0.720,0.721,0.733,0.733,0.731,0.730,0.732,0.729,0.729,0.723,0.724
"Dominican Republic","DOM","National","DOMt","Total",0.593,0.597,0.606,0.613,0.618,0.624,0.630,0.637,0.643,0.648,0.653,0.657,0.662,0.663,0.666,0.675,0.682,0.688,0.692,0.694,0.700,0.705,0.708,0.712,0.724,0.733,0.737,0.741,0.745
"Ecuador","ECU","National","ECUt","Total",0.643,0.645,0.649,0.653,0.657,0.661,0.663,0.667,0.670,0.668,0.669,0.674,0.678,0.682,0.688,0.692,0.696,0.707,0.714,0.716,0.723,0.728,0.748,0.751,0.750,0.758,0.756,0.757,0.758
"Egypt","EGY","National","EGYt","Total",0.547,0.550,0.557,0.563,0.569,0.576,0.583,0.591,0.592,0.605,0.611,0.617,0.621,0.623,0.629,0.635,0.643,0.651,0.659,0.661,0.666,0.669,0.676,0.681,0.683,0.690,0.694,0.697,0.699
"El Salvador","SLV","National","SLVt","Total",0.529,0.533,0.545,0.555,0.564,0.573,0.581,0.590,0.598,0.600,0.608,0.612,0.619,0.625,0.631,0.638,0.645,0.644,0.647,0.647,0.659,0.656,0.660,0.662,0.660,0.660,0.662,0.665,0.667
"Equatorial Guinea","GNQ","National","GNQt","Total",,,,,,,,,,,0.520,0.523,0.536,0.535,0.545,0.569,0.579,0.585,0.587,0.589,0.580,0.583,0.588,0.588,0.590,0.593,0.591,0.590,0.589
"Eritrea","ERI","National","ERIt","Total",,,,,,,,,,,,,,,,0.424,0.425,0.427,0.423,0.432,0.433,0.433,0.422,0.425,0.436,0.432,0.434,0.431,0.434
"Estonia","EST","National","ESTt","Total",0.730,0.725,0.716,0.709,0.713,0.724,0.734,0.748,0.759,0.766,0.781,0.790,0.799,0.806,0.814,0.825,0.832,0.839,0.841,0.838,0.845,0.852,0.859,0.863,0.865,0.871,0.875,0.879,0.881
"Eswatini","SWZ","National","SWZt","Total",0.545,0.546,0.543,0.538,0.531,0.526,0.519,0.507,0.494,0.483,0.468,0.457,0.445,0.440,0.448,0.459,0.472,0.482,0.491,0.501,0.513,0.528,0.542,0.559,0.573,0.585,0.596,0.603,0.608
"Ethiopia","ETH","National","ETHt","Total",,,,,,,,,,,0.284,0.298,0.306,0.310,0.325,0.346,0.362,0.377,0.394,0.401,0.412,0.423,0.429,0.439,0.446,0.453,0.460,0.466,0.470
"Fiji","FJI","National","FJIt","Total",0.640,0.645,0.651,0.655,0.659,0.666,0.668,0.667,0.667,0.672,0.675,0.675,0.678,0.678,0.685,0.687,0.687,0.691,0.691,0.694,0.694,0.698,0.702,0.707,0.712,0.718,0.718,0.721,0.724
"Finland","FIN","National","FINt","Total",0.784,0.787,0.795,0.799,0.809,0.816,0.823,0.831,0.840,0.848,0.857,0.864,0.867,0.870,0.891,0.895,0.899,0.901,0.904,0.899,0.903,0.907,0.908,0.915,0.918,0.920,0.922,0.924,0.926
"France","FRA","National","FRAt","Total",0.779,0.790,0.798,0.804,0.818,0.825,0.830,0.834,0.839,0.844,0.842,0.845,0.845,0.848,0.851,0.861,0.865,0.867,0.869,0.869,0.872,0.876,0.878,0.882,0.887,0.888,0.887,0.890,0.891
"Gabon","GAB","National","GABt","Total",0.619,0.623,0.622,0.625,0.628,0.630,0.631,0.633,0.636,0.631,0.627,0.630,0.631,0.633,0.632,0.638,0.637,0.643,0.645,0.653,0.658,0.663,0.672,0.679,0.689,0.692,0.697,0.700,0.702
"Gambia","GMB","National","GMBt","Total",0.329,0.334,0.339,0.343,0.347,0.350,0.356,0.362,0.368,0.375,0.382,0.390,0.392,0.400,0.409,0.413,0.418,0.424,0.431,0.434,0.437,0.435,0.441,0.448,0.450,0.453,0.456,0.459,0.466
"Georgia","GEO","National","GEOt","Total",,,,,,,,,,,0.669,0.673,0.678,0.688,0.696,0.706,0.712,0.724,0.723,0.727,0.732,0.738,0.749,0.756,0.764,0.771,0.776,0.783,0.787
"Germany","DEU","National","DEUt","Total",0.801,0.809,0.814,0.824,0.829,0.834,0.839,0.844,0.853,0.861,0.869,0.876,0.883,0.889,0.899,0.900,0.910,0.914,0.916,0.917,0.920,0.925,0.927,0.927,0.930,0.933,0.936,0.938,0.939
"Ghana","GHA","National","GHAt","Total",0.454,0.459,0.463,0.467,0.469,0.472,0.473,0.475,0.476,0.479,0.483,0.482,0.487,0.488,0.497,0.508,0.518,0.529,0.542,0.547,0.554,0.563,0.570,0.578,0.577,0.585,0.587,0.591,0.596
"Greece","GRC","National","GRCt","Total",0.753,0.763,0.764,0.762,0.766,0.768,0.772,0.777,0.787,0.789,0.796,0.806,0.818,0.825,0.835,0.845,0.851,0.849,0.857,0.859,0.857,0.854,0.856,0.858,0.866,0.868,0.866,0.871,0.872
"Grenada","GRD","National","GRDt","Total",,,,,,,,,,,,,0.711,0.719,0.721,0.734,0.735,0.740,0.743,0.740,0.743,0.746,0.747,0.750,0.753,0.756,0.760,0.760,0.763
"Guatemala","GTM","National","GTMt","Total",0.478,0.483,0.489,0.496,0.501,0.507,0.515,0.523,0.531,0.539,0.546,0.553,0.560,0.564,0.567,0.571,0.579,0.589,0.593,0.597,0.602,0.607,0.613,0.616,0.643,0.646,0.648,0.650,0.651
"Guinea","GIN","National","GINt","Total",0.278,0.283,0.288,0.293,0.298,0.302,0.306,0.315,0.321,0.328,0.334,0.342,0.351,0.338,0.363,0.373,0.384,0.393,0.400,0.400,0.408,0.421,0.431,0.439,0.446,0.449,0.456,0.464,0.466
"Guinea Bissau","GNB","National","GNBt","Total",,,,,,,,,,,,,,,,0.393,0.401,0.407,0.413,0.419,0.426,0.435,0.437,0.441,0.448,0.453,0.457,0.460,0.462
