Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","National","AFGt","Total",,,,,,,,,,,,,,,,,8.96,9.07,9.17,9.28,9.39,9.49,9.60,9.70,9.81,9.92,10.0,10.1
"Albania","ALB","National","ALBt","Total",,,,,,,,,,,,4.77,4.76,4.74,4.72,4.70,4.69,4.67,4.65,4.58,4.51,4.44,4.37,4.30,4.23,4.16,4.09,4.02
"Algeria","DZA","National","DZAt","Total",,,,,,,,,7.61,7.53,7.44,7.35,7.26,7.17,7.09,7.00,6.91,6.82,6.73,6.64,6.56,6.47,6.38,6.29,6.20,6.12,,
"Angola","AGO","National","AGOt","Total",,,,,,,6.14,6.16,6.17,6.18,6.19,6.20,6.22,6.23,6.24,6.25,6.26,6.27,6.29,6.30,6.31,6.33,6.35,6.36,6.38,6.40,6.42,6.44
"Argentina","ARG","National","ARGt","Total",,,,,,,,,,,,,,,,,,4.32,4.32,4.32,4.32,4.32,4.32,4.32,,,,
"Armenia","ARM","National","ARMt","Total",,,,,,,5.62,5.53,5.45,5.37,5.29,5.21,5.12,5.04,4.96,4.88,4.80,4.71,4.63,4.55,4.55,4.55,4.55,4.54,4.54,4.54,4.54,4.54
"Azerbaijan","AZE","National","AZEt","Total",,,,,,,,,,,,,5.02,5.02,5.02,5.02,5.02,5.02,5.02,,,,,,,,,
"Bangladesh","BGD","National","BGDt","Total",,,,,,,,,,,,,,,,,,,,,5.62,5.62,5.62,5.62,5.62,5.62,5.62,
"Barbados","BRB","National","BRBt","Total",,,,,,,,,,,,,,,,,,,3.95,3.95,3.95,3.95,3.95,3.95,3.95,,,
"Belarus","BLR","National","BLRt","Total",,,,,,,,,,,,3.30,3.28,3.25,3.23,3.21,3.18,3.16,3.14,3.12,3.09,3.07,3.05,3.02,3.00,,,
"Belize","BLZ","National","BLZt","Total",,,,,,,,,,,,,5.91,5.84,5.76,5.68,5.60,5.52,5.45,5.37,5.29,5.21,5.13,5.06,,,,
"Benin","BEN","National","BENt","Total",,,9.63,9.39,9.15,8.91,8.67,8.43,8.19,7.95,7.71,7.60,7.48,7.37,7.25,7.14,7.06,6.98,6.90,6.82,6.74,6.86,6.97,7.09,7.21,7.33,7.44,7.56
"Bhutan","BTN","National","BTNt","Total",,,,,,,,,,,,,,,,,5.60,5.60,5.60,5.60,5.60,5.60,5.60,,,,,
"Bolivia","BOL","National","BOLt","Total",,,,,5.65,5.63,5.62,5.60,5.58,5.57,5.55,5.54,5.52,5.44,5.36,5.27,5.19,5.11,5.03,4.95,4.86,,,,,,,
"Bosnia Herzegovina","BIH","National","BIHt","Total",,,,,,,,,,,,,3.88,3.93,3.97,4.01,4.05,4.09,4.14,4.18,4.22,4.26,4.30,4.35,,,,
"Botswana","BWA","National","BWAt","Total",,,,,,,,6.72,6.64,6.56,6.48,6.40,6.32,6.24,6.16,6.08,5.99,5.91,5.83,5.75,5.67,5.77,5.86,5.96,6.05,6.15,,
"Brazil","BRA","National","BRAt","Total",,,5.39,5.29,5.20,5.10,5.01,4.91,4.82,4.72,4.66,4.61,4.55,4.49,4.44,4.38,4.32,4.26,4.21,4.15,4.09,4.04,3.98,,,,,
"Burkina Faso","BFA","National","BFAt","Total",,,,,9.56,9.57,9.57,9.58,9.59,9.59,9.60,9.60,9.61,9.35,9.10,8.84,8.59,8.33,8.08,7.82,7.56,7.31,7.05,,,,,
"Burundi","BDI","National","BDIt","Total",,,,,,,,,,,,5.99,5.98,5.98,5.98,5.98,5.98,5.97,5.97,5.97,5.97,5.97,5.97,5.96,5.96,5.96,5.96,5.96
"Cambodia","KHM","National","KHMt","Total",,,,,,,6.48,6.41,6.34,6.27,6.20,6.13,6.06,5.99,5.92,5.87,5.82,5.76,5.71,5.66,5.63,5.60,5.57,5.54,5.51,5.48,5.45,
"Cameroon","CMR","National","CMRt","Total",,,,,8.89,8.75,8.61,8.47,8.33,8.19,8.05,7.91,7.77,7.63,7.62,7.60,7.59,7.57,7.56,7.54,7.53,7.52,7.50,7.49,,,,
"Cape Verde","CPV","National","CPVt","Total",,,,,,,,,,,,,,,,,,,,4.98,4.98,4.98,4.98,4.98,4.98,4.98,,
"Central African Republic CAR","CAF","National","CAFt","Total",8.19,8.07,7.96,7.85,7.74,7.63,7.52,7.40,7.29,7.18,7.07,6.96,6.85,6.73,6.62,6.51,6.50,6.50,6.49,6.48,6.47,6.47,6.46,,,,,
"Chad","TCD","National","TCDt","Total",,,,8.10,8.04,7.97,7.91,7.85,7.78,7.72,7.66,7.60,7.53,7.47,7.45,7.44,7.42,7.40,7.39,7.37,7.47,7.57,7.68,7.78,7.88,7.98,8.08,8.19
"Chili","CHL","National","CHLt","Total",,,,,,,,,5.37,5.07,4.76,4.45,4.14,3.83,3.53,3.22,2.91,2.60,2.29,1.99,,,,,,,,
"China","CHN","National","CHNt","Total",,,,,,,,,3.94,3.96,3.98,4.00,4.02,4.04,4.06,4.08,4.11,4.13,4.15,4.17,4.19,4.26,4.32,4.34,4.36,4.38,4.40,4.42
"Colombia","COL","National","COLt","Total",,5.91,5.84,5.78,5.72,5.66,5.60,5.53,5.47,5.41,5.39,5.37,5.35,5.33,5.31,5.23,5.14,5.06,4.97,4.89,4.82,4.75,4.67,4.60,4.53,4.46,4.39,4.31
"Comoros","COM","National","COMt","Total",,,7.99,7.94,7.88,7.82,7.76,7.70,7.65,7.59,7.53,7.47,7.41,7.36,7.30,7.24,7.18,7.12,7.06,7.01,6.95,6.89,6.83,6.77,6.72,,,
"Congo Brazzaville","COG","National","COGt","Total",,,,,,,,,,,,,,,,,,,,,,5.66,5.66,5.66,5.66,5.66,5.66,5.66
"Congo Democratic Republic","COD","National","CODt","Total",,,,,,,,,,,,,,7.52,7.40,7.27,7.15,7.03,6.90,6.78,6.82,6.86,6.90,6.94,6.98,7.02,,
"Costa Rica","CRI","National","CRIt","Total",,,,,,,,,,,,,,,,,,4.45,4.45,4.45,4.45,4.45,4.45,4.45,,,,
"Cote d'Ivoire","CIV","National","CIVt","Total",11.0,10.9,10.8,10.8,10.7,10.6,10.5,10.5,10.4,10.1,9.78,9.48,9.17,8.87,8.57,8.40,8.22,8.05,7.88,7.70,7.53,7.36,7.18,7.01,,,,
"Cuba","CUB","National","CUBt","Total",,,,,,,,,,,,,,,,,,3.84,3.84,3.84,3.84,3.84,3.84,3.84,,,,
"Djibouti","DJI","National","DJIt","Total",,,,,,,,,,,,,7.26,7.26,7.26,7.26,7.26,7.26,7.26,,,,,,,,,
