"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","OOF","TOT","MLN_USD","A","1961",2.054721,
"AUS","OOF","TOT","MLN_USD","A","1963",9.866475,
"AUS","OOF","TOT","MLN_USD","A","1964",38.371465,
"AUS","OOF","TOT","MLN_USD","A","1965",28.042745,
"AUS","OOF","TOT","MLN_USD","A","1966",18.091216,
"AUS","OOF","TOT","MLN_USD","A","1967",87.633648,
"AUS","OOF","TOT","MLN_USD","A","1968",-25.384778,
"AUS","OOF","TOT","MLN_USD","A","1970",54.031524,
"AUS","OOF","TOT","MLN_USD","A","1971",75.069849,
"AUS","OOF","TOT","MLN_USD","A","1972",27.441913,
"AUS","OOF","TOT","MLN_USD","A","1973",8.892712,
"AUS","OOF","TOT","MLN_USD","A","1974",-17.404275,
"AUS","OOF","TOT","MLN_USD","A","1975",-13.172021,
"AUS","OOF","TOT","MLN_USD","A","1976",-3.537994,
"AUS","OOF","TOT","MLN_USD","A","1977",-10.031163,
"AUS","OOF","TOT","MLN_USD","A","1978",4.70321,
"AUS","OOF","TOT","MLN_USD","A","1979",-5.868611,
"AUS","OOF","TOT","MLN_USD","A","1980",2.28354,
"AUS","OOF","TOT","MLN_USD","A","1981",2.47257,
"AUS","OOF","TOT","MLN_USD","A","1982",0.294318,
"AUS","OOF","TOT","MLN_USD","A","1983",48.580006,
"AUS","OOF","TOT","MLN_USD","A","1984",199.261773,
"AUS","OOF","TOT","MLN_USD","A","1985",81.997097,
"AUS","OOF","TOT","MLN_USD","A","1986",246.844246,
"AUS","OOF","TOT","MLN_USD","A","1987",-142.430595,
"AUS","OOF","TOT","MLN_USD","A","1988",28.024253,
"AUS","OOF","TOT","MLN_USD","A","1989",92.128609,
"AUS","OOF","TOT","MLN_USD","A","1990",-150.013025,
"AUS","OOF","TOT","MLN_USD","A","1991",-70.987367,
"AUS","OOF","TOT","MLN_USD","A","1992",297.550405,
"AUS","OOF","TOT","MLN_USD","A","1993",0,
"AUS","OOF","TOT","MLN_USD","A","1994",0,
"AUS","OOF","TOT","MLN_USD","A","1995",0,
"AUS","OOF","TOT","MLN_USD","A","1996",0,
"AUS","OOF","TOT","MLN_USD","A","1997",0.299464,
"AUS","OOF","TOT","MLN_USD","A","1998",24.501669,
"AUS","OOF","TOT","MLN_USD","A","1999",1284.229955,
"AUS","OOF","TOT","MLN_USD","A","2000",1173.638423,
"AUS","OOF","TOT","MLN_USD","A","2001",100.925955,
"AUS","OOF","TOT","MLN_USD","A","2002",102.121702,
"AUS","OOF","TOT","MLN_USD","A","2003",191.878425,
"AUS","OOF","TOT","MLN_USD","A","2004",135.489956,
"AUS","OOF","TOT","MLN_USD","A","2005",139.614117,
"AUS","OOF","TOT","MLN_USD","A","2006",248.736982,
"AUS","OOF","TOT","MLN_USD","A","2007",303.898391,
"AUS","OOF","TOT","MLN_USD","A","2008",157.781538,
"AUS","OOF","TOT","MLN_USD","A","2009",423.558161,
"AUS","OOF","TOT","MLN_USD","A","2010",250.361371,
"AUS","OOF","TOT","MLN_USD","A","2011",203.415807,
"AUS","OOF","TOT","MLN_USD","A","2012",257.07638,
"AUS","OOF","TOT","MLN_USD","A","2013",385.278423,
"AUS","OOF","TOT","MLN_USD","A","2014",127.864701,
"AUS","OOF","TOT","MLN_USD","A","2015",301.27765,
"AUS","OOF","TOT","MLN_USD","A","2016",476.311419,
"AUS","OOF","TOT","MLN_USD","A","2017",194.926264,
"AUS","OOF","TOT","MLN_USD","A","2018",199.48,
"AUT","OOF","TOT","MLN_USD","A","1960",-2.892728,
"AUT","OOF","TOT","MLN_USD","A","1961",-9.646199,
"AUT","OOF","TOT","MLN_USD","A","1962",152.026594,
"AUT","OOF","TOT","MLN_USD","A","1963",-26.823089,
"AUT","OOF","TOT","MLN_USD","A","1964",99.013761,
"AUT","OOF","TOT","MLN_USD","A","1965",242.718987,
"AUT","OOF","TOT","MLN_USD","A","1966",232.086542,
"AUT","OOF","TOT","MLN_USD","A","1967",123.695045,
"AUT","OOF","TOT","MLN_USD","A","1968",60.907912,
"AUT","OOF","TOT","MLN_USD","A","1969",21.947268,
"AUT","OOF","TOT","MLN_USD","A","1970",89.486259,
"AUT","OOF","TOT","MLN_USD","A","1971",-32.725016,
"AUT","OOF","TOT","MLN_USD","A","1972",-9.355277,
"AUT","OOF","TOT","MLN_USD","A","1973",0.71604,
"AUT","OOF","TOT","MLN_USD","A","1974",0,
"AUT","OOF","TOT","MLN_USD","A","1975",0,
"AUT","OOF","TOT","MLN_USD","A","1976",0,
"AUT","OOF","TOT","MLN_USD","A","1977",0,
"AUT","OOF","TOT","MLN_USD","A","1978",0,
"AUT","OOF","TOT","MLN_USD","A","1979",0,
"AUT","OOF","TOT","MLN_USD","A","1980",-102.22739,
"AUT","OOF","TOT","MLN_USD","A","1981",-80.000125,
"AUT","OOF","TOT","MLN_USD","A","1982",0,
"AUT","OOF","TOT","MLN_USD","A","1983",0,
"AUT","OOF","TOT","MLN_USD","A","1984",0,
"AUT","OOF","TOT","MLN_USD","A","1985",0,
"AUT","OOF","TOT","MLN_USD","A","1986",0,
"AUT","OOF","TOT","MLN_USD","A","1987",0,
"AUT","OOF","TOT","MLN_USD","A","1988",0,
"AUT","OOF","TOT","MLN_USD","A","1989",0,
"AUT","OOF","TOT","MLN_USD","A","1990",0,
"AUT","OOF","TOT","MLN_USD","A","1991",0,
"AUT","OOF","TOT","MLN_USD","A","1992",0,
"AUT","OOF","TOT","MLN_USD","A","1993",0,
"AUT","OOF","TOT","MLN_USD","A","1994",0,
"AUT","OOF","TOT","MLN_USD","A","1995",30.045691,
"AUT","OOF","TOT","MLN_USD","A","1996",248.332064,
"AUT","OOF","TOT","MLN_USD","A","1997",126.0009,
"AUT","OOF","TOT","MLN_USD","A","1998",0,
"AUT","OOF","TOT","MLN_USD","A","1999",0,
"AUT","OOF","TOT","MLN_USD","A","2000",0,
"AUT","OOF","TOT","MLN_USD","A","2001",0,
"AUT","OOF","TOT","MLN_USD","A","2002",0,
"AUT","OOF","TOT","MLN_USD","A","2003",0,
"AUT","OOF","TOT","MLN_USD","A","2004",0,
"AUT","OOF","TOT","MLN_USD","A","2005",584.314434,
"AUT","OOF","TOT","MLN_USD","A","2006",84.807108,
"AUT","OOF","TOT","MLN_USD","A","2007",13.882721,
"AUT","OOF","TOT","MLN_USD","A","2008",55.777237,
"AUT","OOF","TOT","MLN_USD","A","2009",6.790631,
"AUT","OOF","TOT","MLN_USD","A","2010",1.717646,
"AUT","OOF","TOT","MLN_USD","A","2011",0,
"AUT","OOF","TOT","MLN_USD","A","2012",0,
"AUT","OOF","TOT","MLN_USD","A","2013",196.102117,
"AUT","OOF","TOT","MLN_USD","A","2014",94.460043,
"AUT","OOF","TOT","MLN_USD","A","2015",29.581948,
"AUT","OOF","TOT","MLN_USD","A","2016",158.527906,
"AUT","OOF","TOT","MLN_USD","A","2017",55.537795,
"AUT","OOF","TOT","MLN_USD","A","2018",-4.3,
"BEL","OOF","TOT","MLN_USD","A","1966",41.547305,
"BEL","OOF","TOT","MLN_USD","A","1967",80.289021,
"BEL","OOF","TOT","MLN_USD","A","1968",141.499745,
"BEL","OOF","TOT","MLN_USD","A","1969",19.194515,
"BEL","OOF","TOT","MLN_USD","A","1970",8.683611,
"BEL","OOF","TOT","MLN_USD","A","1971",5.586739,
"BEL","OOF","TOT","MLN_USD","A","1972",76.125334,
"BEL","OOF","TOT","MLN_USD","A","1973",19.153572,
"BEL","OOF","TOT","MLN_USD","A","1974",6.9885,
"BEL","OOF","TOT","MLN_USD","A","1975",120.828048,
"BEL","OOF","TOT","MLN_USD","A","1976",95.776201,
"BEL","OOF","TOT","MLN_USD","A","1977",48.076794,
"BEL","OOF","TOT","MLN_USD","A","1978",137.854703,
"BEL","OOF","TOT","MLN_USD","A","1979",61.3322,
"BEL","OOF","TOT","MLN_USD","A","1980",393.301708,
"BEL","OOF","TOT","MLN_USD","A","1981",179.434759,
"BEL","OOF","TOT","MLN_USD","A","1982",378.031339,
"BEL","OOF","TOT","MLN_USD","A","1983",247.020825,
"BEL","OOF","TOT","MLN_USD","A","1984",717.573349,
"BEL","OOF","TOT","MLN_USD","A","1985",297.330408,
"BEL","OOF","TOT","MLN_USD","A","1986",97.850706,
"BEL","OOF","TOT","MLN_USD","A","1987",674.514668,
"BEL","OOF","TOT","MLN_USD","A","1988",794.69719,
"BEL","OOF","TOT","MLN_USD","A","1989",726.543436,
"BEL","OOF","TOT","MLN_USD","A","1990",358.934981,
"BEL","OOF","TOT","MLN_USD","A","1991",265.717505,
"BEL","OOF","TOT","MLN_USD","A","1992",707.187367,
"BEL","OOF","TOT","MLN_USD","A","1993",272.647934,
"BEL","OOF","TOT","MLN_USD","A","1994",1037.817442,
"BEL","OOF","TOT","MLN_USD","A","1995",339.248648,
"BEL","OOF","TOT","MLN_USD","A","1996",121.57226,
"BEL","OOF","TOT","MLN_USD","A","1997",-2.421902,
"BEL","OOF","TOT","MLN_USD","A","1998",117.000627,
"BEL","OOF","TOT","MLN_USD","A","1999",-115.697066,
"BEL","OOF","TOT","MLN_USD","A","2000",-15.01872,
"BEL","OOF","TOT","MLN_USD","A","2001",12.238833,
"BEL","OOF","TOT","MLN_USD","A","2002",172.258849,
"BEL","OOF","TOT","MLN_USD","A","2003",1276.274662,
