,year,reg_iwipov50,irreg_iwipov50,L3_steel
0,1998,0.7415747126436778,0.6402514492753629,
1,1999,0.7259857954545447,0.6187338028169017,
2,2000,0.7138593220338983,0.6153552447552447,
3,2001,0.706403867403315,0.6225026845637587,114.588
4,2002,0.6870734693877555,0.5782685714285717,123.954
5,2003,0.6577157894736838,0.5595963350785341,128.5
6,2004,0.6369350230414745,0.5525088541666668,151.634
7,2005,0.6314085201793724,0.5725256410256406,182.366
8,2006,0.6172522321428573,0.575011557788945,222.336
9,2007,0.6018955555555554,0.5595900990099011,272.798
10,2008,0.5982605042016808,0.529383886255924,355.79
11,2009,0.5775955465587046,0.5176834905660377,421.024
12,2010,0.5690547619047619,0.5150145631067962,489.712
13,2011,0.5515772000000002,0.5003053398058251,512.339
14,2012,0.5368405622489958,0.4904064039408865,577.07
15,2013,0.5221413654618476,0.47854926108374385,638.743
16,2014,0.5166584362139917,0.4841046391752575,701.968
17,2015,0.4955946666666669,0.4979137142857143,731.04
18,2016,0.4952514563106794,0.5192858064516135,822.0
19,2017,0.49256906077348084,0.5386284615384614,822.306
20,2018,0.50288031496063,0.5462471153846153,803.825
